Pallet: "collective", Extrinsic: "execute", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,b,extrinsic_time,storage_root_time
267,1024,56224,16877
267,1024,56277,16830
267,1024,55883,16922
267,1024,56417,16639
267,1024,56229,17110
267,1024,56048,16427
267,1024,56129,16640
267,1024,56306,16932
267,1024,56263,17067
267,1024,56266,16847
267,1024,56090,16621
267,1024,56226,16799
267,1024,56152,16696
267,1024,56201,16694
267,1024,55970,16331
267,1024,56066,16782
286,1024,57798,16756
286,1024,59206,17407
286,1024,59175,16927
286,1024,57798,17022
286,1024,58964,17152
286,1024,58907,16848
286,1024,58590,17012
286,1024,58559,17004
286,1024,58802,17109
286,1024,58520,16805
286,1024,61556,17148
286,1024,57712,17049
286,1024,58447,17032
286,1024,58833,16981
286,1024,58444,16687
286,1024,58988,17223
286,1024,58659,17027
286,1024,57645,17070
286,1024,58577,16899
286,1024,58540,16825
305,1024,59733,16960
305,1024,59464,16582
305,1024,59418,16792
305,1024,59427,16683
305,1024,59702,16762
305,1024,59411,16688
305,1024,59326,16511
305,1024,58228,16867
305,1024,62395,16988
305,1024,58379,16445
305,1024,59652,16639
305,1024,59384,16575
305,1024,59691,16774
305,1024,59672,16835
305,1024,59383,16676
305,1024,59501,16925
305,1024,59571,16720
305,1024,59700,17011
305,1024,59279,16986
305,1024,59372,16622
324,1024,63056,16930
324,1024,61756,16666
324,1024,61557,16937
324,1024,61661,16962
324,1024,61977,17020
324,1024,62162,16920
324,1024,62068,16674
324,1024,61867,16762
324,1024,61884,17003
324,1024,60526,16345
324,1024,61826,16800
324,1024,61666,16704
324,1024,61913,16626
324,1024,62066,16926
324,1024,61945,17022
324,1024,60312,16849
324,1024,61957,16906
324,1024,61695,16577
324,1024,61560,16856
324,1024,61629,16869
343,1024,63824,16860
343,1024,63764,16761
343,1024,66669,17171
343,1024,64025,16867
343,1024,63744,17000
343,1024,63846,17017
343,1024,64068,16868
343,1024,64301,16944
343,1024,63854,17058
343,1024,63684,16770
343,1024,66678,17296
343,1024,64096,16887
343,1024,63909,16870
343,1024,64266,16874
343,1024,63858,16822
343,1024,62535,16860
343,1024,63837,16936
343,1024,63597,16800
343,1024,66510,17208
343,1024,63107,17073
362,1024,66130,16817
362,1024,66410,17275
362,1024,65717,17158
362,1024,65969,16896
362,1024,66172,16995
362,1024,66132,17382
362,1024,66139,17190
362,1024,64721,16833
362,1024,66291,17032
362,1024,65936,17200
362,1024,65997,16933
362,1024,66118,17032
362,1024,66058,17205
362,1024,64728,16925
362,1024,65634,17186
362,1024,65417,17095
362,1024,65826,16892
362,1024,65944,17116
362,1024,65966,17016
362,1024,65829,16590
381,1024,68048,17163
381,1024,67925,17133
381,1024,67797,17279
381,1024,67764,17015
381,1024,67783,17245
381,1024,68133,17077
381,1024,68015,16774
381,1024,67968,16933
381,1024,68119,16868
381,1024,68170,16996
381,1024,68168,16912
381,1024,67953,17103
381,1024,67458,17191
381,1024,66389,16745
381,1024,67829,17030
381,1024,66716,17062
381,1024,98646,17087
381,1024,67974,17052
381,1024,68088,17311
381,1024,67814,16897
400,1024,73088,17000
400,1024,70070,17078
400,1024,68261,17083
400,1024,69751,17185
400,1024,69948,16932
400,1024,69605,16931
400,1024,69596,17106
400,1024,69694,16902
400,1024,68187,17072
400,1024,69932,17147
400,1024,69702,16820
400,1024,69397,17038
