Pallet: "staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
e,extrinsic_time,storage_root_time
65,9299476,2102270
65,9319630,2190445
65,9524158,2115190
65,9201542,2088846
65,9465638,2184617
65,9185460,2125435
65,9369722,2131789
65,9190858,2245704
65,9337545,2160055
69,9679095,2236029
69,10582471,2241812
69,9818711,2190904
69,10142472,2361734
69,9820364,2298269
69,10067887,2242338
69,10024766,2309464
69,10010504,2217030
69,9762511,2285868
69,10331068,2280448
69,10400889,2354745
69,10106626,2244497
69,10883382,2273842
69,9856711,2176125
69,9610392,2252088
69,9914202,2240736
69,9647034,2226972
69,10362725,2178838
69,10072158,2312502
69,10062093,2306501
73,10616055,2342701
73,10787373,2432681
73,10387803,2497109
73,10765429,2359328
73,10344946,2376392
73,10488385,2375428
73,10523612,2408833
73,10847874,2527397
73,10599608,2413306
73,10529697,2360174
73,10418044,2419170
73,10632176,2467234
73,10591034,2332579
73,10886413,2438504
73,10727150,2376597
73,10653437,2484352
73,10829813,2392848
73,10685764,2324840
73,10807621,2473013
73,10911998,2444436
77,11630512,2584435
77,11332359,2460274
77,11275990,2549783
77,11476356,2547100
77,11537812,2653286
77,11181597,2544608
77,11152243,2471271
77,11558564,2549525
77,11415632,2499584
77,11110148,2474125
77,11192789,2508795
77,11588574,2480597
77,10991484,2517637
77,11249104,2494500
77,11273061,2498748
77,11826405,2504839
77,11220122,2500812
77,11123298,2492165
77,11511104,2714502
77,11195120,2475703
81,11728452,2712525
81,11786805,2794838
81,12359955,2785537
81,12314847,2863396
81,11814957,2664086
81,12918085,2957758
81,11931676,2786612
81,12037241,2701781
81,11674508,2758490
81,12017077,2717356
81,11735333,2688280
81,11762538,2728391
81,11813664,2684593
81,11790908,2692277
81,11812938,2762322
81,11771856,2785611
81,11640962,2691319
81,11913574,2818039
81,12014647,2772840
81,12194500,2736624
85,12943311,2971195
85,12385367,2915529
85,12570282,2897228
85,12639701,2931997
85,12483634,2816748
85,12436942,2866378
85,12483802,2928949
85,12663037,2898804
85,12748881,3010209
85,13850620,2890965
85,12246842,2959572
85,12700512,2887926
85,12529378,2895151
85,12816596,2918366
85,12502759,2864182
85,12703078,2900649
85,12374888,2928327
85,12737998,2882310
85,12493904,2870585
85,12635698,2969782
89,13431942,3112019
89,13472608,2981628
89,13303613,3107033
89,13453170,3114727
89,13263837,3142621
89,13480131,3042667
89,13642383,3052197
89,13941690,3135567
89,13722462,3335105
89,13786069,3096154
89,13380224,3109057
89,14655020,3485419
89,13460718,3132209
89,13398422,3027316
89,13072114,2984563
89,13301996,3082713
89,13117072,3005505
89,13059499,3042407
89,13030890,3013879
89,13391269,3079520
93,14162523,3296609
93,13797082,3167176
93,13893513,3226565
93,14133506,3192263
93,14019387,3121102
93,13869570,3120780
93,15495691,3150427
93,15318113,3857227
93,14494016,3335284
93,14290431,3162695
93,13905731,3240479
93,14045528,3110686
93,14819196,3391034
93,13860282,3042687
