Pallet: "multisig", Extrinsic: "cancel_as_multi_store", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
16,10000,89306,33789
16,10000,89739,33992
16,10000,89782,33673
16,10000,89521,33623
16,10000,90132,33922
16,10000,89632,33641
16,10000,89932,33852
16,10000,89495,33684
16,10000,89326,33877
16,10000,89639,33615
16,10000,89080,33909
16,10000,90159,34027
16,10000,89583,33531
16,10000,89632,33727
16,10000,89520,33876
16,10000,89312,33832
16,10000,89057,33792
17,10000,89505,33976
17,10000,92515,33976
17,10000,89497,33794
17,10000,89557,34158
17,10000,89979,34001
17,10000,89401,34217
17,10000,89159,33983
17,10000,89600,33887
17,10000,89410,33883
17,10000,89669,33973
17,10000,89675,34124
17,10000,89079,33802
17,10000,88872,34156
17,10000,88809,33813
17,10000,89023,33981
17,10000,89650,33862
17,10000,88948,34358
17,10000,89298,34470
17,10000,89404,34023
17,10000,89435,34051
18,10000,89766,34034
18,10000,89930,34025
18,10000,90074,34438
18,10000,89642,34356
18,10000,89397,33778
18,10000,89891,34132
18,10000,90100,34244
18,10000,89456,34239
18,10000,90044,34567
18,10000,89669,34151
18,10000,89399,34316
18,10000,89402,33749
18,10000,90173,34098
18,10000,90204,33896
18,10000,89215,33987
18,10000,91870,34782
18,10000,89134,33914
18,10000,90048,33710
18,10000,89277,34008
18,10000,90129,34320
19,10000,89782,34025
19,10000,90003,34602
19,10000,89041,33920
19,10000,89917,34745
19,10000,89978,34162
19,10000,89923,34257
19,10000,90306,33774
19,10000,90128,33965
19,10000,90053,37645
19,10000,90379,34471
19,10000,90219,34130
19,10000,89461,34192
19,10000,89977,34111
19,10000,89482,34285
19,10000,90066,34226
19,10000,90166,34244
19,10000,89843,34164
19,10000,90894,34506
19,10000,89798,34510
19,10000,89952,34388
20,10000,90843,34427
20,10000,93517,34523
20,10000,90713,34525
20,10000,90117,34312
20,10000,90446,34613
20,10000,90530,34149
20,10000,90652,33830
20,10000,90975,34571
20,10000,91090,34651
20,10000,90712,34211
20,10000,90678,34014
20,10000,90626,33838
20,10000,90350,34609
20,10000,89933,34046
20,10000,90760,34452
20,10000,90903,34367
20,10000,90891,34286
20,10000,90512,34630
20,10000,90988,34200
20,10000,90762,34306
21,10000,90577,34678
21,10000,90723,34503
21,10000,90374,34148
21,10000,90554,34210
21,10000,89851,34077
21,10000,90345,33885
21,10000,90102,37404
21,10000,90442,34256
21,10000,90481,34316
21,10000,89939,34448
21,10000,90618,33941
21,10000,90403,33909
21,10000,90357,33969
21,10000,90500,34437
21,10000,90436,34530
21,10000,90455,34038
21,10000,90199,34098
21,10000,90180,34880
21,10000,90255,34166
21,10000,90775,34267
22,10000,90061,34020
22,10000,90665,34197
22,10000,90888,34414
22,10000,90572,34641
22,10000,90044,34382
22,10000,90192,34388
22,10000,90837,33792
22,10000,90552,34095
22,10000,90799,33783
22,10000,90667,34043
22,10000,90577,34352
22,10000,91321,33928
22,10000,91264,34601
22,10000,90799,34445
22,10000,90824,34245
22,10000,90795,33967
22,10000,90879,34200
22,10000,91004,34195
22,10000,90505,34425
22,10000,90458,34299
23,10000,90455,34289
23,10000,91199,33873
23,10000,90915,34354
23,10000,90616,34254
23,10000,90568,34680
23,10000,90662,34617
23,10000,91391,34369
23,10000,91557,34217
23,10000,92319,34349
23,10000,91057,34487
23,10000,91206,34358
23,10000,90951,34448
23,10000,90859,34475
23,10000,90987,34729
23,10000,90744,37097
23,10000,91038,34235
23,10000,90995,34302
23,10000,91101,34346
23,10000,91373,34366
23,10000,90827,34567
24,10000,94740,34728
24,10000,90889,34369
24,10000,91245,34484
24,10000,91118,34291
24,10000,91387,34185
24,10000,91413,34135
24,10000,91250,34365
24,10000,91230,34233
24,10000,91493,34183
24,10000,90937,34791
24,10000,91343,34518
24,10000,90992,34328
24,10000,91428,34300
24,10000,91204,33929
24,10000,91246,33902
24,10000,90945,34751
24,10000,91435,34335
24,10000,90917,37364
24,10000,91591,34465
24,10000,90984,34277
25,10000,91299,34282
25,10000,91143,34582
25,10000,91369,34301
25,10000,91821,34884
25,10000,91398,34797
25,10000,90224,34597
25,10000,91548,34533
25,10000,90989,34689
25,10000,91460,34736
25,10000,91565,34508
25,10000,91149,34203
25,10000,91024,34692
25,10000,91066,34178
25,10000,91432,34420
25,10000,91606,34684
25,10000,91186,34380
25,10000,90791,33916
25,10000,91102,34728
25,10000,91766,34356
25,10000,91085,34344
26,10000,91650,34471
26,10000,91747,34016
26,10000,91619,34505
26,10000,91612,34562
26,10000,91329,34689
26,10000,94929,34486
26,10000,91904,34257
26,10000,91299,34272
26,10000,91307,34776
26,10000,91261,34671
26,10000,91852,34105
26,10000,91782,34927
26,10000,91355,34153
26,10000,91825,34432
26,10000,91513,34161
26,10000,91589,34330
26,10000,92352,34655
26,10000,90943,34492
26,10000,91774,34243
26,10000,91700,34316
27,10000,91460,34512
27,10000,91649,34436
27,10000,91943,34357
27,10000,91843,34420
27,10000,91630,34867
27,10000,91466,34648
27,10000,91663,34139
27,10000,91038,34513
27,10000,91325,34212
27,10000,90829,34753
27,10000,91247,34300
27,10000,91512,34801
27,10000,91096,34337
27,10000,91863,34882
27,10000,91368,34781
27,10000,91342,34640
27,10000,91582,34546
27,10000,91858,34989
27,10000,92100,34927
27,10000,91164,34411
28,10000,91752,34432
28,10000,91524,34244
28,10000,91667,34403
28,10000,92109,34293
28,10000,91561,34218
28,10000,91561,34808
28,10000,91848,34510
28,10000,91123,34506
28,10000,121523,35115
28,10000,91607,34524
28,10000,91170,33922
28,10000,91057,34156
28,10000,91840,34805
28,10000,91354,34516
28,10000,92380,34649
28,10000,91464,34526
28,10000,91776,34501
28,10000,91811,34870
28,10000,91937,34563
28,10000,91671,34307
29,10000,91778,34169
29,10000,92132,34521
29,10000,91968,34173
29,10000,91740,34484
29,10000,92685,34780
29,10000,91705,34720
29,10000,92024,34679
29,10000,92189,34877
29,10000,91796,34502
29,10000,92379,34559
29,10000,92218,34305
29,10000,91714,34260
29,10000,91966,34833
29,10000,91258,34513
29,10000,95064,34935
29,10000,91967,34639
29,10000,91815,34740
29,10000,91742,34452
29,10000,92301,34332
29,10000,91873,37267
30,10000,92402,34657
30,10000,92020,34271
