Pallet: "staking", Extrinsic: "new_era", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,n,extrinsic_time,storage_root_time
10,5,352240018,185358
10,5,352573465,181249
10,5,351812410,181967
10,5,351774202,180542
10,5,352010534,181866
10,5,352058369,187008
10,5,351220170,181842
10,5,353097175,181094
10,5,351808477,182099
10,5,353478501,182764
10,5,351320379,182571
10,5,352024892,181571
10,5,353366804,180563
10,5,353472524,182700
10,5,350635888,182715
10,5,353153490,184825
10,6,353478451,183799
10,6,353580096,181928
10,6,353437715,183922
10,6,354704262,181901
10,6,353915434,184931
10,6,354733336,185737
10,6,353827763,181600
10,6,353553644,181558
10,6,354555712,184023
10,6,355243719,184499
10,6,355262172,180276
10,6,353772435,186207
10,6,354696499,183591
10,6,353343073,183691
10,6,353871822,182917
10,6,353876504,184662
10,6,354312226,182757
10,6,354333269,184022
10,6,353566821,182084
10,6,353371176,183542
10,7,351253848,183537
10,7,350407557,191918
10,7,351386690,185028
10,7,352407209,185166
10,7,351510628,182871
10,7,352885181,187831
10,7,351629280,187655
10,7,351197879,183653
10,7,351064454,183089
10,7,350551856,182003
10,7,351458416,188843
10,7,351686528,187161
10,7,351333430,187668
10,7,352301137,186527
10,7,352106152,185057
10,7,350822705,184850
10,7,351786007,183560
10,7,352349952,182398
10,7,351473417,186069
10,7,351281291,183237
10,8,353689075,188548
10,8,353470634,184024
10,8,353769719,185899
10,8,353208485,186653
10,8,354130710,184676
10,8,353359007,183733
10,8,353271897,186424
10,8,352991745,184687
10,8,353516323,183818
10,8,354837280,182640
10,8,352673963,183926
10,8,354146428,184892
10,8,352205664,190001
10,8,352698143,189791
10,8,353059750,182929
10,8,353653090,186827
10,8,352683193,186996
10,8,353792128,182605
10,8,354765993,182639
10,8,354913444,183663
10,9,350255529,184903
10,9,347858283,186965
10,9,349059033,185662
10,9,347647031,185260
10,9,347697530,184284
10,9,347938402,185406
10,9,349174955,183902
10,9,348916786,186381
10,9,348132870,189867
10,9,348616667,195730
10,9,348607801,187858
10,9,348230324,191881
10,9,348573975,187187
10,9,348788995,188877
10,9,349871117,185021
