Pallet: "utility", Extrinsic: "approve_as_multi_approve", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
16,10000,33528,19076
16,10000,33548,19137
16,10000,33362,19295
16,10000,33370,19260
16,10000,33260,19138
16,10000,33185,19121
16,10000,33067,19157
16,10000,33302,19179
16,10000,33071,18952
16,10000,33266,19191
16,10000,33211,19113
16,10000,33695,19286
16,10000,33474,19389
16,10000,33404,18850
16,10000,33672,18861
16,10000,33349,19016
16,10000,33332,19022
17,10000,33941,19373
17,10000,33619,19329
17,10000,33877,19294
17,10000,33267,18984
17,10000,33483,19078
17,10000,33408,19382
17,10000,33720,19171
17,10000,34032,19322
17,10000,33472,19520
17,10000,33352,19099
17,10000,33416,21925
17,10000,33769,19390
17,10000,33516,19187
17,10000,33328,19033
17,10000,33191,19287
17,10000,33745,19162
17,10000,33432,19195
17,10000,33763,19351
17,10000,33160,19063
17,10000,33390,19273
18,10000,33603,19131
18,10000,33180,19025
18,10000,33753,19351
18,10000,33746,19280
18,10000,33749,19135
18,10000,33435,19206
18,10000,33430,19312
18,10000,33772,19152
18,10000,33422,19439
18,10000,33339,19381
18,10000,33536,19123
18,10000,33686,18986
18,10000,33340,19435
18,10000,33285,18997
18,10000,36423,19499
18,10000,33743,19046
18,10000,33647,19058
18,10000,33210,19176
18,10000,33299,19157
18,10000,33582,19248
19,10000,33471,19310
19,10000,33635,19304
19,10000,33671,19524
19,10000,33577,19449
19,10000,33779,19408
19,10000,33564,19277
19,10000,33787,19468
19,10000,33802,19130
19,10000,33568,19093
19,10000,33706,19167
19,10000,34177,19396
19,10000,33577,19321
19,10000,33496,19091
19,10000,33827,19125
19,10000,33668,19080
19,10000,33641,19012
19,10000,33893,19325
19,10000,33988,19258
19,10000,33761,19476
19,10000,33772,19600
20,10000,34010,19288
20,10000,33857,19205
20,10000,34123,19365
20,10000,34146,19385
20,10000,33937,19165
20,10000,33926,19190
20,10000,33455,19116
20,10000,33878,19015
20,10000,33590,19042
20,10000,33627,19089
20,10000,33752,19071
20,10000,33944,19076
20,10000,34004,19376
20,10000,33816,19183
20,10000,33864,19113
20,10000,33893,19184
20,10000,33643,19202
20,10000,34021,19120
20,10000,33651,18841
20,10000,34281,19280
21,10000,34198,19403
21,10000,34111,19535
21,10000,33420,19414
21,10000,33644,19055
21,10000,34193,19183
21,10000,33659,19199
21,10000,34437,19673
21,10000,33946,19160
21,10000,33931,19234
21,10000,33784,19175
21,10000,33531,19123
21,10000,33567,19181
21,10000,33810,19098
21,10000,36769,19323
21,10000,34149,19031
21,10000,34042,19097
21,10000,34086,19105
21,10000,34160,19376
