Pallet: "collective", Extrinsic: "close_disapproved", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
230,100,1024,142066,46753
230,100,1024,142069,47488
230,100,1024,141789,46629
230,100,1024,143916,46479
230,100,1024,143006,46684
230,100,1024,141577,46509
230,100,1024,141578,46770
230,100,1024,142208,46480
230,100,1024,141901,47046
230,100,1024,142321,46410
230,100,1024,143403,46453
230,100,1024,143523,46939
230,100,1024,142386,46335
230,100,1024,142702,46581
230,100,1024,142091,46787
230,100,1024,141706,46679
230,100,1024,144871,47508
230,100,1024,143345,46305
230,100,1024,143911,46883
230,100,1024,141942,46201
249,100,1024,145697,46868
249,100,1024,145884,46764
249,100,1024,147486,46914
249,100,1024,146228,46763
249,100,1024,146242,45878
249,100,1024,145290,46660
249,100,1024,146017,46738
249,100,1024,145383,46588
249,100,1024,145631,46957
249,100,1024,145698,45907
249,100,1024,145597,46396
249,100,1024,145759,46589
249,100,1024,145629,46374
249,100,1024,145581,46634
249,100,1024,145778,46246
249,100,1024,145297,46353
249,100,1024,147121,46616
249,100,1024,145323,46286
249,100,1024,145348,46261
249,100,1024,147158,46481
268,100,1024,149998,46736
268,100,1024,149445,46761
268,100,1024,149420,47098
268,100,1024,149045,46437
268,100,1024,149640,46497
268,100,1024,151149,46684
268,100,1024,149716,46457
268,100,1024,149366,46396
268,100,1024,151238,46859
268,100,1024,149785,46173
268,100,1024,149536,46584
268,100,1024,152577,46864
268,100,1024,149470,46208
268,100,1024,149754,46595
268,100,1024,150731,47026
268,100,1024,150029,46491
268,100,1024,148519,46274
268,100,1024,149317,46560
268,100,1024,149191,46606
268,100,1024,149191,46545
287,100,1024,154761,46793
287,100,1024,153467,46610
287,100,1024,153601,46939
287,100,1024,155804,47013
287,100,1024,153432,46480
287,100,1024,153357,46437
287,100,1024,153551,46881
287,100,1024,153466,46820
287,100,1024,154418,47158
287,100,1024,152921,46350
287,100,1024,155053,47364
287,100,1024,153570,46309
287,100,1024,153422,46339
287,100,1024,153303,46842
287,100,1024,153796,46700
287,100,1024,153488,46677
287,100,1024,152783,46221
287,100,1024,152657,46778
287,100,1024,153296,46711
287,100,1024,153776,46101
306,100,1024,159935,46844
306,100,1024,159004,47306
306,100,1024,157148,46533
306,100,1024,157334,46667
306,100,1024,157050,47083
306,100,1024,157334,46701
306,100,1024,156726,46080
306,100,1024,157287,46685
306,100,1024,158902,46909
306,100,1024,156748,46297
306,100,1024,156513,46348
306,100,1024,156000,46706
306,100,1024,157000,47415
306,100,1024,157110,46016
306,100,1024,160993,46650
306,100,1024,157270,46218
306,100,1024,157872,46248
306,100,1024,157029,46512
306,100,1024,156727,46731
306,100,1024,157621,46897
325,100,1024,161491,46786
325,100,1024,160549,46464
325,100,1024,162177,46784
325,100,1024,161333,46681
325,100,1024,160916,46631
325,100,1024,165198,47414
325,100,1024,161803,46675
325,100,1024,160660,46157
325,100,1024,162631,46648
325,100,1024,162002,46293
325,100,1024,162150,46562
325,100,1024,161902,46691
325,100,1024,162296,46966
325,100,1024,162185,47056
325,100,1024,162263,46861
325,100,1024,164022,47595
325,100,1024,161002,45860
325,100,1024,161756,46815
325,100,1024,162465,46688
325,100,1024,161223,46770
344,100,1024,165671,46855
344,100,1024,169911,47094
344,100,1024,167677,47214
344,100,1024,167293,46990
344,100,1024,165868,46648
344,100,1024,166877,46770
344,100,1024,166457,46662
344,100,1024,166722,46769
344,100,1024,166469,47425
344,100,1024,166440,46159
344,100,1024,167726,47397
344,100,1024,166158,46449
344,100,1024,166155,46460
344,100,1024,165082,46806
344,100,1024,166332,46638
344,100,1024,166353,46481
344,100,1024,165604,46964
344,100,1024,165732,46573
344,100,1024,166171,46780
344,100,1024,166163,46720
363,100,1024,169800,47178
363,100,1024,169603,46574
363,100,1024,169897,46525
363,100,1024,169108,46312
363,100,1024,169405,46970
363,100,1024,170248,47354
363,100,1024,168306,46387
363,100,1024,169069,46435
363,100,1024,168446,46498
363,100,1024,168487,46752
363,100,1024,169889,46606
363,100,1024,168107,46636
363,100,1024,177741,49148
363,100,1024,171342,47145
363,100,1024,169965,46870
363,100,1024,170105,46669
363,100,1024,170025,46621
363,100,1024,169247,46878
363,100,1024,169347,46840
363,100,1024,169886,47224
382,100,1024,172835,47231
382,100,1024,173584,47098
382,100,1024,172925,46686
382,100,1024,173031,46522
382,100,1024,172300,47062
382,100,1024,172991,47691
382,100,1024,173200,47397
382,100,1024,172792,50083
382,100,1024,173266,46458
382,100,1024,173050,46676
382,100,1024,172929,46290
