Pallet: "proxy", Extrinsic: "proxy", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
p,extrinsic_time,storage_root_time
20,22057,16323
20,21897,16527
20,22049,16381
20,21895,16243
20,22197,16176
20,22190,16107
20,21876,16423
20,21956,16093
20,21660,16272
21,22239,16266
21,21972,16409
21,22244,16125
21,22026,16185
21,21721,16004
21,21572,16353
21,22048,16328
21,22242,16357
21,21838,16473
21,21596,16158
21,21875,16250
21,21958,16034
21,21888,16289
21,21906,16127
21,22318,16405
21,21950,16108
21,21788,16273
21,21872,16354
21,21927,16142
21,22069,16185
22,22035,16713
22,22115,16341
22,21861,16603
22,22351,16187
22,22083,16020
22,22062,16503
22,22066,16619
22,22099,16285
22,22399,16392
22,22346,16147
22,21863,15909
22,21978,16154
22,21960,16383
22,22214,16198
22,22012,16407
22,22129,16093
22,22013,16003
22,21915,16182
22,22526,16256
22,21924,16170
23,22239,16133
23,22355,16470
23,22382,16464
23,22112,16070
23,22060,16378
23,22188,16241
23,22102,15989
23,22201,16229
23,24973,16423
23,22159,16247
23,22306,16181
23,22264,16448
23,22274,16363
23,22061,16375
23,22280,16436
23,22192,16254
23,22309,16060
23,22313,16363
23,22433,16329
23,22461,16437
24,22381,16412
24,22508,16399
24,22477,16287
24,22689,16294
24,22349,16466
24,22509,16576
24,22246,16322
24,22382,16257
24,35671,16520
24,22407,16314
24,22704,16395
24,22404,16397
24,22162,16441
24,22206,16149
24,22325,16271
24,22278,16171
24,22303,15926
24,22142,16181
24,22203,16145
24,22311,16101
25,22462,16591
25,22357,16234
25,22408,16060
25,22386,16275
25,22456,16379
25,22612,16193
25,22515,16516
25,22313,16332
25,22629,16302
25,22505,16238
25,22284,16120
25,22398,16041
25,22471,16148
25,22101,16243
25,22326,16545
25,22292,16082
25,22161,16226
25,22701,16515
25,22348,16371
25,22362,16107
26,22631,16393
26,22619,16371
26,22671,16466
26,22462,16092
26,22426,16158
26,22673,16289
26,23142,16349
26,22790,16489
26,22916,16297
26,22585,16402
26,22704,16464
26,22572,16255
26,22916,16242
26,22715,16373
26,22808,16169
26,23169,16658
