Pallet: "elections", Extrinsic: "renounce_candidacy_candidate", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time
1,27481,33277
1,25643,31423
1,25951,31291
1,25617,31724
1,25520,30809
1,26259,30973
1,25731,31215
1,25749,31556
1,25483,31648
1,26026,31532
1,25497,31451
1,25823,32074
1,25277,31710
1,25899,32346
1,25490,35038
1,25800,31548
1,25516,31970
1,25599,32020
1,25580,31969
1,25669,31832
2,25948,32161
2,25645,32159
2,26121,32126
2,26091,32152
2,25571,32178
2,26076,32774
2,26353,31583
2,26020,31878
2,26283,32504
2,25590,31951
2,25971,32393
2,26010,32361
2,25777,32074
2,25755,31895
2,25890,32299
2,25913,31591
2,26044,31876
2,25784,32016
2,25780,31895
2,25734,31930
3,25930,32244
3,25830,31926
3,25744,31857
3,25610,32115
3,25824,31855
3,26028,32057
3,26121,32070
3,26343,32102
3,26250,32416
3,26164,31981
3,25735,32345
3,25915,32207
3,25990,32174
3,26032,32413
3,25528,32169
3,25779,32070
3,25814,31888
3,25715,32450
3,25927,32192
3,26343,32212
4,26286,32189
4,26450,32165
4,26118,32425
4,26003,32372
4,26215,32174
4,26158,32186
4,26314,31900
4,25938,32051
4,25762,31868
4,26135,32054
4,26208,31958
4,26085,31957
4,26015,31953
4,26066,32215
4,38933,32444
4,25915,32012
4,26348,31921
4,25545,32056
4,25865,32081
4,26477,32613
5,26214,32551
5,26425,32146
5,26420,32146
5,26339,32631
5,26554,32112
5,26293,31877
5,26422,32254
5,26403,32106
5,26265,32463
5,26356,32637
5,26724,32848
5,26431,32522
5,26909,32771
5,26665,32440
5,26713,31876
5,26022,32675
5,26490,32505
5,26203,32173
5,26221,32079
5,25850,32270
6,26443,32284
6,26384,32431
6,25939,32520
6,26438,32269
6,26880,31831
6,26379,32642
6,26135,32818
6,26293,32410
6,26301,32710
6,26308,32488
6,26489,32281
6,26092,31941
6,26486,32391
6,26556,32556
6,26576,32499
6,25915,32643
6,26581,32902
6,26345,32519
6,26302,32679
6,26482,32369
7,26481,32647
7,26452,32519
7,26875,32531
7,26500,32441
7,26551,32904
7,26995,32704
7,26809,32671
7,26222,32437
7,27653,32707
7,26152,32431
7,26373,32704
7,26492,32303
7,26582,32466
7,26562,32576
7,26515,32183
7,26744,32309
7,26667,32327
7,26595,32188
7,26287,32429
7,26616,32406
8,26351,32628
8,26628,32612
8,26624,32572
8,27073,32822
8,26816,32675
8,26581,32706
8,26736,32570
8,27238,33309
