Pallet: "democracy", Extrinsic: "external_propose_majority", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
p,extrinsic_time,storage_root_time
20,3158,8788
20,3193,8946
20,3218,8933
20,3230,8942
20,3184,8897
20,3206,8813
20,3192,8772
20,3150,8705
20,3128,8875
20,3228,8820
21,3180,8807
21,3139,8782
21,3239,8817
21,3130,8770
21,3201,8751
21,3233,8779
21,3173,8736
21,3184,8771
21,3220,8927
21,3217,8828
21,3196,8830
21,3122,8820
21,3138,8741
21,3209,8741
21,3226,8814
21,3235,8919
21,3157,8907
21,3158,8843
21,3172,8844
21,3184,8802
22,3150,8844
22,3197,8957
22,3127,8797
22,3216,8795
22,3195,9036
22,3127,8812
22,3160,8839
22,3155,8904
22,3147,8869
22,3162,8940
22,3229,8836
22,3132,9003
22,3194,8950
22,3150,8984
22,3163,8822
22,3197,8965
22,3131,8884
22,3161,8897
22,3205,8892
22,3136,8767
23,3422,9045
23,3132,8877
23,3173,8848
23,3140,8868
23,3209,8740
23,3191,8919
23,3220,8819
23,3181,8732
23,3140,8742
23,3177,8920
23,3251,8844
23,3194,8839
23,3147,8770
23,3203,8896
23,3262,8902
23,3139,8816
23,3206,8886
23,3257,8809
23,3160,8907
23,3141,9058
24,3170,8915
24,3132,8958
24,3100,8863
24,3134,8776
24,3203,8776
24,3230,8807
24,3154,8851
24,3123,8724
24,3158,8809
24,3221,8677
24,3157,8800
24,3231,8849
24,3239,8829
24,3201,8777
24,3218,8817
24,3273,8726
24,3156,8881
24,3112,8857
24,3169,8801
24,3207,8910
25,3173,8875
25,3205,8998
25,3222,8895
25,3188,9048
25,3284,8788
25,3168,8873
25,3218,8939
25,3182,8812
25,3192,8968
25,3111,8846
25,3237,8805
25,3173,8874
25,3149,8799
25,3157,8775
25,3154,8788
25,3168,8928
25,3184,8880
25,3151,8792
25,3178,8777
25,3178,8865
26,3256,8848
26,3247,8891
26,3178,8855
26,3180,8754
26,3185,8948
26,3116,8758
26,3189,8803
26,3170,8822
26,3123,8784
26,3161,8923
26,3213,8902
26,3120,8825
26,3182,8776
26,3259,9109
26,3235,8854
26,3185,9112
26,3258,8861
26,3166,8821
26,3240,8889
26,3168,8884
27,3145,8951
27,3166,8950
27,3200,8969
27,3157,8972
27,3231,8834
27,3153,8943
27,3267,8734
27,3180,8835
27,3203,8844
27,3122,9011
27,3128,8787
27,3154,8950
27,3162,8854
27,3161,8910
27,3149,8967
27,3178,8881
27,3149,8754
27,3134,8827
27,3135,8911
27,3167,8854
28,3174,8863
28,3153,8911
28,3119,8862
28,3140,8763
28,3132,8769
28,3179,8808
28,3214,8801
28,3152,8992
28,3211,8875
28,3176,8938
28,3146,8832
28,3179,8976
28,3164,8865
28,3164,8819
28,3181,8799
28,3127,8896
28,3197,8788
28,3115,8859
28,3190,8832
28,3172,8758
29,3335,9124
29,3213,8947
29,3181,8829
29,3161,8935
29,3226,8890
29,3209,8909
29,3199,8795
29,3215,8939
29,3189,8778
29,3190,8796
29,3156,8911
29,3144,8766
29,3194,8744
29,3225,8815
29,3190,8795
29,3218,8771
29,3104,8890
29,3228,8938
29,3256,8775
29,3224,8841
30,3147,8820
30,3191,8865
30,3192,8935
30,3124,8713
30,3168,8757
30,3154,8813
30,3123,8733
30,3084,8839
30,3128,8817
30,3211,8792
30,3184,8894
30,3122,8694
30,3166,8711
30,3185,8764
30,3176,8729
30,3137,8795
30,3244,8793
30,3152,8753
30,3201,8806
30,3152,8784
31,3151,8800
31,3200,8925
31,3212,8894
31,3159,8883
31,3158,8746
31,3150,8886
31,3160,8886
31,3122,8805
31,3139,8836
31,3230,8942
31,3181,8846
31,3176,8777
31,3180,8818
31,3142,8702
31,3194,8682
31,3155,8905
31,3200,8921
31,3193,8920
31,3135,8918
31,3201,8773
32,3173,8884
32,3183,8836
32,3065,8913
32,3157,8915
32,3099,8977
32,3167,8884
32,3239,8840
32,3200,8841
32,3186,8837
32,3164,8950
32,3123,8840
32,3179,8747
32,3185,8873
32,3205,8899
32,3199,8843
32,3147,8895
32,3120,9013
32,3175,8849
32,3102,8836
32,3207,8980
33,3122,8924
33,3116,8932
33,3198,8956
33,3139,8827
33,3208,8804
33,3117,8843
33,3136,9001
33,3166,8885
33,3190,8960
33,3148,8916
33,3133,8674
33,3174,8936
33,3123,8743
33,3141,8866
33,3197,8903
33,3205,8902
33,3131,8869
33,3265,8880
33,3171,8916
33,3181,8812
34,3174,8820
34,3189,8815
34,3246,8856
34,3318,8793
34,3246,8963
34,3219,8786
34,3206,8773
34,3131,8653
34,3239,8698
34,3226,8836
34,3227,8853
34,3203,8804
34,3190,8966
34,3281,8962
34,3209,8866
34,3236,8828
34,3252,8767
34,3168,8683
34,3201,8763
34,3193,8865
35,3238,8821
35,3408,8982
35,3273,8814
35,3161,8823
35,3169,8757
35,3149,8727
35,3155,8869
35,3220,8829
35,3132,8842
35,3224,8722
35,3159,8815
35,3191,8894
35,3158,8882
35,3183,8815
35,3258,8858
35,3056,8637
35,3153,8822
35,3139,8909
35,3149,8873
35,3203,8785
36,3221,8913
36,3148,8803
36,3175,8758
36,3169,8820
36,3223,8794
36,3160,8961
36,3143,8797
36,3085,8817
36,3178,8827
36,3157,8820
36,3163,8783
36,3136,8928
36,3186,8851
36,3194,8982
36,3110,8854
36,3144,8800
36,3164,8810
36,3183,8911
36,3255,8834
36,3189,8863
37,3178,9007
37,3239,8835
37,3189,8767
37,3166,8833
37,3220,8848
37,3203,8847
37,3171,8984
37,3141,8905
37,3157,8834
37,3201,8866
37,3136,8855
37,3163,8869
37,3146,8789
37,3199,8871
37,3165,8784
37,3172,8810
37,3162,8816
37,3124,8907
37,3171,8801
37,3155,8810
38,3161,8809
38,3211,8960
38,3196,8687
38,3203,8925
38,3168,8900
38,3224,8902
38,3191,8965
38,3259,8892
38,3191,8847
38,3165,8953
38,3167,8805
38,3184,8932
38,3165,8872
38,3239,8842
38,3199,8869
38,3228,8832
38,3231,8890
38,3189,8859
38,3181,8895
38,3155,9067
39,3238,8970
39,3184,8868
39,3220,8890
39,3220,8776
39,3120,8780
39,3210,8885
39,3173,8847
39,3190,8675
39,3159,8925
39,3229,8800
39,3212,8787
39,3257,8836
39,3207,8679
39,3180,8749
39,3232,8640
39,3205,8864
39,3186,8787
39,3205,8826
39,3136,8765
39,3243,8840
40,3196,8968
40,3219,8883
40,3148,8941
40,3181,8950
40,3249,8809
40,3178,8958
40,3191,8971
40,3157,8875
40,3143,8756
40,3212,8827
40,3182,8807
40,3186,8808
40,3189,8830
40,3146,8748
40,3209,8602
40,3194,8828
40,3203,8844
40,3229,8852
40,3231,8904
40,3264,8791
41,3250,8804
41,3187,8899
41,3526,21988
41,3257,8889
41,3181,8866
41,3157,8771
41,3134,8800
41,3189,8790
41,3094,8751
41,3183,8894
41,3154,8939
41,3105,8802
41,3141,8814
41,3162,8906
41,3262,8803
41,3169,8871
41,3234,8855
41,3195,8849
41,3216,8850
41,3096,8923
42,3171,8879
42,3185,8781
42,3154,8948
42,3161,8925
42,3183,8820
42,3137,8895
42,3169,8962
42,3148,8954
42,3129,8865
42,3199,8871
42,3134,8785
42,3217,8840
42,3193,9023
42,3185,8861
42,3209,8861
42,3195,8944
42,3186,8787
42,3106,8933
42,3182,8738
42,3134,8926
43,3182,8996
43,3148,8881
43,3145,8921
43,3253,8940
43,3142,8773
43,3183,8870
43,3216,8964
43,3183,8841
43,3190,8841
43,3258,8876
43,3256,8905
43,3161,8905
43,3161,8914
43,3221,8907
43,3226,8936
43,3248,8974
43,3177,8902
43,3212,8751
43,3220,8859
43,3201,8913
44,3220,8804
44,3184,8936
44,3152,8893
44,3099,8785
44,3191,8915
44,3251,8900
44,3218,8789
44,3199,8867
44,3190,8836
44,3199,8786
44,3208,8864
44,3272,8855
44,3163,8835
44,3256,9010
44,3177,8824
44,3210,8803
44,3199,8930
44,3182,8904
44,3230,8840
44,3240,8875
45,3306,8734
45,3262,8873
45,3195,8963
45,3211,8742
45,3183,9016
45,3155,8978
45,3161,8847
45,3213,8857
45,3237,8823
45,3209,8760
45,3207,8908
45,3197,8799
45,3206,8742
45,3222,8887
45,3122,8801
45,3170,8784
45,3143,8818
45,3190,8921
45,3164,8806
45,3194,8844
46,3222,8905
46,3181,9012
46,3169,8784
46,3161,9010
46,3155,8901
46,3197,8860
46,3134,8862
46,3170,8725
46,3148,8928
46,3213,8878
46,3184,8752
46,3204,8866
46,3203,8956
46,3096,8854
46,3170,8908
46,3209,8844
46,3117,8874
46,3197,8864
46,3205,8849
46,3191,9076
47,3235,8895
47,3171,8888
47,3260,8915
47,3181,8955
47,3144,8915
47,3138,8887
47,3127,8915
47,3167,8935
47,3271,8862
47,3159,8805
47,3131,8972
47,3224,8957
47,3156,8991
47,3286,8963
47,3194,8843
47,3157,8853
47,3198,8963
47,3235,8825
47,3149,8779
47,3181,8833
48,3137,9019
48,3168,8892
48,3164,8897
48,3189,8798
48,3199,9012
48,3222,9019
48,3163,8899
48,3179,8796
48,3182,8778
48,3225,8866
48,3194,8872
48,3196,8872
48,3149,8934
48,3180,8940
48,3210,8870
48,3153,9021
48,3202,8814
48,3245,8953
48,3212,8912
48,3204,8877
49,3258,8779
49,3208,8862
49,3200,8872
49,3220,9020
49,3224,8892
49,3303,8800
49,3288,8814
49,3317,8738
49,3224,8728
49,3205,8858
49,3244,9203
49,3220,8885
49,3231,8969
49,3261,8936
49,3235,8826
49,3222,8791
49,3236,8871
49,3324,8843
49,3291,8881
49,3250,8840
50,3219,8872
50,3207,8864
50,3157,8844
50,3185,8833
50,3190,8791
50,3213,8861
50,3183,8841
50,3214,8846
50,3167,8811
50,3184,8908
50,3273,8951
50,3228,8896
50,3199,8875
50,3271,8910
50,3194,8848
50,3196,8861
50,3167,8931
50,3196,8790
50,3219,8849
50,3177,8822
51,3124,8809
51,3112,8864
51,3169,8892
51,3197,8814
51,3148,8811
51,3140,8941
51,3229,8849
51,3178,8783
51,3181,8887
51,3244,8833
51,3182,8914
51,3183,8896
51,3216,8896
51,3223,8844
51,3250,8850
51,3203,8860
51,3208,8795
51,3160,8917
51,3202,8902
51,3155,8832
52,3257,8814
52,3190,8940
52,3227,8848
52,3185,8868
52,3164,8827
52,3226,9089
52,3225,9000
52,3191,8967
52,3179,8904
52,3259,8798
52,3202,8944
52,3216,8877
52,3168,8882
52,3134,8870
52,3116,8913
52,3188,8949
52,3180,8885
52,3213,8917
52,3138,8909
52,3171,8914
53,3134,8905
53,3242,9108
53,3190,8952
53,3203,8851
53,3109,8881
53,3090,8902
53,3158,8964
53,3245,8950
53,3197,8932
53,3154,8955
53,3129,9035
53,3150,8930
53,3173,8854
53,3205,8911
53,3184,8794
53,3204,8960
53,3134,8884
53,3176,8785
53,3158,8851
53,3183,8817
54,3195,8877
54,3249,8866
54,3333,8909
54,3203,8898
54,3253,8945
54,3250,8861
54,3204,8894
54,3146,8803
54,3191,8946
54,3222,8727
54,3180,8937
54,3199,8834
54,3112,8810
54,3139,8970
54,3253,8832
54,3187,8866
54,3214,8894
54,3152,8778
54,3245,8783
54,3206,8858
55,3161,8895
55,3176,8915
55,3214,8790
55,3185,8890
55,3178,8824
55,3240,8671
55,3138,8813
55,3148,8861
55,3217,8791
55,3193,8635
55,3188,8835
55,3089,9026
55,3156,8828
55,3136,8826
55,3141,8730
55,3203,8847
55,3133,8772
55,3172,8915
55,3144,8921
55,3175,8787
56,3171,8809
56,3195,8872
56,3167,8912
56,3204,8687
56,3225,8934
56,3188,8960
56,3201,8732
56,3138,8851
56,3231,8929
56,3106,8952
56,3229,8870
56,3169,8782
56,3195,8810
56,3200,8904
56,3260,8784
56,3194,8871
56,3146,8903
56,3173,8747
56,3217,8927
56,3221,8822
57,3200,8796
57,3202,8962
57,3169,8824
57,3175,8741
57,3154,8935
57,3162,8865
57,3151,8910
57,3209,8902
57,3224,8883
57,3262,8802
57,3305,8963
57,3212,8903
57,3244,8788
57,3195,8853
57,3186,8992
57,3272,8921
57,3221,8934
57,3209,8784
57,3148,8786
57,3178,8754
58,3191,8870
58,3259,8839
58,3209,8771
58,3223,8848
58,3190,8772
58,3191,8914
58,3132,8900
58,3159,8996
58,3262,8875
58,3221,9024
58,3130,8913
58,3212,8916
58,3227,8837
58,3181,9018
58,3206,8815
58,3229,8922
58,3230,8827
58,3191,8849
58,3270,8701
58,3153,8729
59,3255,8838
59,3261,10977
59,3244,8825
59,3234,8906
59,3231,8812
59,3293,8770
59,3244,8899
59,3214,8863
59,3302,8822
59,3209,8936
59,3221,8680
59,3271,8767
59,3165,8795
59,3163,8889
59,3202,8800
59,3235,8832
59,3196,8782
59,3226,8730
59,3225,8774
59,3175,9019
60,3239,8815
60,3251,8815
60,3193,8950
60,3094,8865
60,3162,8737
60,3225,8840
60,3147,8793
60,3191,8996
60,3226,8861
60,3243,8760
60,3157,8869
60,3235,8840
60,3267,8785
60,3213,8848
60,3233,8867
60,3241,8814
60,3197,8842
60,3256,8848
60,3218,8660
60,3180,8760
61,3155,8971
61,3179,8962
61,3237,8854
61,3181,8925
61,3165,8772
61,3187,8747
61,3263,8983
61,3209,8883
61,3179,8905
61,3218,8872
61,3151,8879
61,3241,8863
61,3190,8980
61,3195,8919
61,3196,8833
61,3212,8875
61,3177,8840
61,3230,8894
61,3270,9063
61,3174,8850
62,3209,8920
62,3165,8895
62,3145,8812
62,3198,8951
62,3185,8834
62,3183,8770
62,3192,8830
62,3218,8902
62,3196,8805
62,3200,8943
62,3186,8815
62,3233,8948
62,3208,8930
62,3156,8943
62,3198,8891
62,3165,8879
62,3248,8879
62,3176,8922
62,3165,8873
62,3246,8936
63,3223,8841
63,3193,8954
63,3189,8894
63,3144,8842
63,3147,8879
63,3199,8926
63,3189,8829
63,3169,8832
63,3181,8857
63,3207,8884
63,3150,8976
63,3232,8991
63,3218,8939
63,3204,8846
63,3213,8851
63,3138,8846
63,3235,8753
63,3200,8861
63,3221,8808
63,3238,8744
64,3260,8930
64,3169,8763
64,3257,8800
64,3251,8905
64,3287,8765
64,3228,8771
64,3238,8915
64,3242,8863
64,3186,8804
64,3179,8991
64,3247,8801
64,3310,8857
64,3225,8948
64,3239,8886
64,3233,8915
64,3255,8903
64,3256,8846
64,3246,8889
64,3294,8854
64,3246,8865
65,3268,8935
65,3225,8826
65,5433,9092
65,3197,8857
65,3234,8821
65,3168,8893
65,3234,8966
65,3199,8822
65,3175,8721
65,3173,8858
65,3144,8818
65,3211,8841
65,3169,8897
65,3200,9012
65,3260,8792
65,3263,8898
65,3182,8936
65,3251,8903
65,3198,8874
65,3238,8916
66,3140,8800
66,3205,8995
66,3181,8958
66,3263,8870
66,3240,8877
66,3210,9057
66,3213,8879
66,3208,8841
66,3193,8922
66,3196,8819
66,3148,8827
66,3227,8885
66,3194,8957
66,3226,8933
66,3128,8859
66,3254,8901
66,3141,8934
66,3199,8874
66,3240,8812
66,3120,8865
67,3179,8946
67,3227,8895
67,3259,8881
67,3232,8939
67,3232,8837
67,3227,8933
67,3259,8846
67,3201,8794
67,3136,8795
67,3155,8833
67,3232,8933
67,3216,9009
67,3209,8955
67,3204,8835
67,3188,8914
67,3162,8871
67,3196,8717
67,3162,8823
67,3214,8834
67,3221,8958
68,3158,8786
68,3234,8888
68,3135,8761
68,3250,8875
68,3195,8797
68,3207,8789
68,3176,8822
68,3203,8887
68,3232,8908
68,3161,8899
68,3247,8824
68,3134,8804
68,3269,8964
68,3237,8909
68,3146,8786
68,3148,8801
68,3208,8862
68,3221,8761
68,3228,8854
68,3257,8848
69,3218,8785
69,3243,8878
69,3228,8946
69,3193,8808
69,3204,8848
69,3185,8934
69,3225,8739
69,3273,8830
69,3242,8836
69,3322,8862
69,3229,8822
69,3242,8864
69,3254,8904
69,3306,8848
69,3281,8803
69,3258,8768
69,3293,8850
69,3243,8924
69,3253,8924
69,3205,8957
70,3302,8909
70,3172,8855
70,3200,8837
70,3208,8888
70,3226,8823
70,3169,8940
70,3213,8919
70,3184,8714
70,3257,8958
70,3241,8890
70,3242,8780
70,3256,8773
70,3232,8804
70,3274,8732
70,3205,8837
70,3276,8825
70,3284,8808
70,3240,8846
70,3199,8868
70,3264,8816
71,3279,8826
71,3243,8916
71,3227,8822
71,3535,21992
71,3262,8778
71,3183,8855
71,3181,8794
71,3202,8743
71,3191,8781
71,3205,8750
71,3236,8880
71,3226,8764
71,3205,8815
71,3207,8966
71,3169,8968
71,3198,8990
71,3215,8778
71,3176,8831
71,3213,8844
71,3214,8853
72,3191,8863
72,3127,8960
72,3179,8734
72,3201,8733
72,3197,8847
72,3276,8831
72,3230,8820
72,3164,8959
72,3230,8799
72,3242,8823
72,3195,8888
72,3137,8892
72,3147,8825
72,3258,8929
72,3282,8915
72,3238,8839
72,3195,8809
72,3214,8869
72,3263,8911
72,3206,8906
73,3218,8936
73,3185,8912
73,3263,8819
73,3232,8806
73,3156,8837
73,3222,8731
73,3231,8854
73,3229,8719
73,3199,8767
73,3222,8878
73,3206,8892
73,3174,8847
73,3272,8812
73,3157,8823
73,3139,8758
73,3196,8857
73,3180,8793
73,3253,8826
73,3231,8795
73,3175,8831
74,3222,8769
74,3222,8943
74,3430,8904
74,3294,8860
74,3274,8881
74,3272,8817
74,3216,8761
74,3172,8883
74,3264,8777
74,3253,8746
74,3280,8807
74,3302,8794
74,3160,8833
74,3237,8890
74,3230,8868
74,3262,8798
74,3174,8906
74,3243,8826
74,3269,8828
74,3148,8896
75,3249,8843
75,3204,8924
75,3158,8945
75,3171,8873
75,3156,8920
75,3209,8850
75,3168,8881
75,3140,8892
75,3184,8785
75,3170,8869
75,3160,8822
75,3165,8866
75,3197,8943
75,3179,8852
75,3220,8760
75,3212,8768
75,3218,8892
75,3198,8940
75,3269,8861
75,3231,8814
76,3257,8773
76,3222,8822
76,3166,8811
76,3179,8933
76,3244,8784
76,3136,8948
76,3275,8778
76,3223,8865
76,3184,8901
76,3206,8951
76,3168,8767
76,3177,8791
76,3172,8936
76,3154,8840
76,3165,8802
76,3224,8946
76,3235,8798
76,3285,8812
76,3233,8953
76,3216,8804
77,3215,8962
77,3188,8876
77,3200,11283
77,3304,8904
77,3212,8950
77,3146,8824
77,3166,8788
77,3212,8885
77,3117,8766
77,3136,8988
77,3223,8817
77,3235,8877
77,3222,8864
77,3188,8907
77,3206,8943
77,3171,8921
77,3167,8893
77,3183,8810
77,3124,8746
77,3174,8816
78,3143,8840
78,3204,8876
78,3191,8893
78,3168,8963
78,3132,8912
78,3139,8809
78,3163,8931
78,3150,8948
78,3153,8789
78,3090,8972
78,3130,8792
78,3187,8810
78,3203,8788
78,3154,8805
78,3116,8673
78,3129,8732
78,3170,8842
78,3156,8768
78,3174,8724
78,3110,8747
79,3185,8780
79,3211,8825
79,3230,8762
79,3197,8857
79,3241,8789
79,3189,8799
79,3161,8792
79,3132,8865
79,3163,8813
79,3245,8887
79,3255,8774
79,3167,8743
79,3176,8759
79,3180,8759
79,3148,8744
79,3183,8844
79,3286,8787
79,3189,8826
79,3251,8860
79,3165,8746
80,3144,8722
80,3162,8746
80,3166,8796
80,3201,8865
80,3195,8850
80,3130,8948
80,3168,8839
80,3192,8872
80,3162,8798
80,3127,8888
80,3182,8670
80,3185,8891
80,3218,8882
80,3159,8853
80,3188,8750
80,3119,8873
80,3172,8874
80,3201,8821
80,3166,8824
80,3216,8910
81,3144,8834
81,3189,8798
81,3174,8825
81,3127,8871
81,3116,8808
81,3169,8772
81,3157,8816
81,3207,8844
81,3235,8751
81,3231,8816
81,3158,8886
81,3205,9000
81,3109,8768
81,3229,8891
81,3149,8928
81,3181,8928
81,3176,8861
81,3213,8803
81,3179,8885
81,3140,8964
82,3140,8998
82,3191,8795
82,3144,8897
82,3234,8908
82,3227,8868
82,3200,8925
82,3247,8986
82,3182,8849
82,3163,8754
82,3212,8902
82,3152,8790
82,3210,8783
82,3147,8912
82,3234,8998
82,3198,8780
82,3196,8948
82,3120,8881
82,3163,8797
82,3198,8817
82,3170,8704
83,3129,8866
83,3142,8843
83,3086,8824
83,3133,8926
83,3338,21742
83,3152,8897
83,3168,8997
83,3209,8837
83,3210,8820
83,3159,8964
83,3136,8814
83,3241,8933
83,3176,8854
83,3167,8850
83,3158,8825
83,3194,8877
83,3277,8812
83,3267,8703
83,3217,8895
83,3214,8868
84,3236,8920
84,3163,8937
84,3222,8901
84,3180,8714
84,3217,8668
84,3224,8789
84,3222,8691
84,3244,8765
84,3176,8780
84,3175,8891
84,3147,8686
84,3159,8817
84,3192,8738
84,3228,8779
84,3173,8816
84,3226,8810
84,3221,8780
84,3241,8917
84,3180,8899
84,3272,8904
85,3180,8827
85,3150,8795
85,3117,8903
85,3159,8932
85,3220,8635
85,3190,8840
85,3172,8904
85,3215,8900
85,3222,8868
85,3163,8820
85,3236,8807
85,3109,8936
85,3185,8793
85,3217,8759
85,3134,8803
85,3146,8817
85,3202,8754
85,3273,8859
85,3143,8845
85,3177,8774
86,3158,8906
86,3177,8724
86,3160,8787
86,3186,8824
86,3214,8860
86,3175,8786
86,3174,8812
86,3197,8841
86,3187,8824
86,3163,8953
86,3199,8865
86,3150,8780
86,3169,8798
