Pallet: "treasury", Extrinsic: "tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
20,38283,9989
20,38100,10144
20,38243,10084
20,38372,9829
20,38752,10183
20,38116,10067
20,38212,10081
20,38209,10084
20,38696,10147
21,40170,11399
21,39314,10949
21,39764,10814
21,39971,11206
21,39689,11033
21,39972,10997
21,40046,10965
21,39778,11180
21,39550,11033
21,39820,10948
21,39573,11042
21,39018,11199
21,39995,10978
21,39972,10976
21,39925,11048
21,39754,10929
21,40132,11140
21,39786,11030
21,40221,11075
21,39852,11040
22,40128,11242
22,39960,10515
22,40195,10343
22,39705,10849
22,39317,10396
22,39755,10194
22,39796,10712
22,39924,10439
22,39791,10460
22,57511,11165
22,39502,10225
22,39475,10189
22,39284,10322
22,39582,10684
22,39236,10440
22,39832,10260
22,39789,10430
22,39863,10368
22,39905,10324
22,39583,10322
23,41400,10265
23,40328,10218
23,40797,10270
23,40455,10207
23,40889,10362
23,40318,10066
23,40568,9981
23,40491,10302
23,40261,9963
23,39911,9942
23,40256,10245
23,40791,10192
23,40307,10117
23,40581,10097
23,40477,10170
23,40465,10327
23,40627,10201
23,40431,10340
23,40569,10171
23,40126,10062
24,41042,10370
24,41419,10466
24,41101,10476
24,40932,10388
24,41026,10404
24,41246,10237
24,40774,10132
24,41001,10585
24,41002,10267
24,40772,10261
24,41190,10350
24,41455,10490
24,41062,10187
24,40834,10457
24,41406,10316
24,41090,10076
24,40742,10314
24,41413,10314
24,40878,10436
24,41404,10351
25,41786,10507
25,42058,10499
25,41767,10347
25,41764,10463
25,41722,10484
25,41722,10382
25,41660,10160
25,42322,10798
25,41777,10649
25,41612,10368
25,42133,10598
25,41979,10422
25,41916,10311
25,41955,10408
25,41441,10563
25,42014,10185
25,41799,10444
25,41833,10157
25,41640,10452
25,41628,10374
26,42761,11889
26,42972,10920
26,42942,11608
26,42412,11067
26,42393,11594
26,42494,11199
26,42685,11827
26,43544,11759
26,43021,11111
26,42174,11650
26,43209,11085
26,42674,11550
26,42808,10998
26,42309,11508
26,42695,11094
26,42793,11527
26,42948,11742
26,42942,10919
26,42208,11692
26,43234,11130
27,42901,10775
27,43170,10737
27,43259,11405
27,43094,10771
27,43352,10580
27,42728,10760
27,42674,10533
27,42782,10970
27,43126,11229
27,42849,10507
27,43275,10745
27,42929,10559
27,42742,10610
27,42831,10872
27,43128,10674
27,42403,10907
27,43193,10508
27,42806,10580
27,43207,10581
27,43192,10595
28,43126,10620
28,43240,10667
28,43375,10724
28,43152,10672
28,43966,10601
28,44182,10550
28,43253,10602
28,43613,10594
28,43586,10883
28,44048,10709
28,43641,10562
28,43590,10780
28,43010,11094
28,43217,10771
28,43376,11020
28,43644,11157
28,43161,10435
28,43725,10866
28,43480,11115
28,43356,10422
29,44143,10871
29,44130,11348
29,44002,11043
29,44437,10358
29,44246,10515
29,44406,10578
29,44349,10493
29,43892,11073
29,44101,10943
29,43894,10576
29,44610,10841
29,44366,11231
29,44173,11220
29,43798,10378
29,44417,10679
29,44068,10488
29,44703,10510
29,44233,11160
29,44349,11167
29,44088,10590
30,44614,9828
30,44513,9764
30,44311,9742
30,44954,9924
30,44669,9695
30,44418,10117
30,44372,10039
30,44533,10313
30,44238,9847
30,44535,9893
30,44414,10177
30,44411,10371
30,44500,9555
30,44488,9942
30,44376,10333
30,44485,10417
30,44498,10019
30,44619,9586
30,44728,9825
30,44682,9916
31,45781,10902
31,45519,10566
31,45536,10568
31,45428,10614
31,45505,10459
31,45208,10590
31,44960,10456
31,45920,10947
31,45649,10605
31,46165,10968
31,45441,10506
31,44980,10720
31,45423,10655
31,45512,10487
31,45255,10450
31,45424,10310
31,45375,10417
31,45364,10839
31,45865,10558
31,45699,10776
32,45917,10686
32,46054,10594
32,46152,10514
32,46572,10718
32,45727,10914
32,46208,10630
32,46317,10864
32,46000,10670
32,45840,10654
32,45960,10642
32,45921,10555
32,46231,10601
32,45972,10505
32,45913,10727
32,46234,10875
32,45987,10864
32,46150,10750
32,45954,10525
32,45691,10280
32,45937,10786
33,46752,10816
33,46487,10944
33,46150,10654
33,46573,10602
33,46470,10791
33,47225,10694
33,46261,10692
33,47043,10625
33,46696,10745
33,46513,10704
33,46689,10552
33,46745,10802
33,46888,10808
33,46746,10858
33,46854,10783
33,46579,10508
33,46631,10817
33,47427,10708
33,46979,10637
33,47184,10565
34,47950,11862
34,47486,11192
34,47456,11706
34,47916,11506
34,47858,11643
34,47436,11432
34,47555,11544
34,47794,11354
34,47599,11481
34,47735,11459
34,47478,11343
34,47251,11432
34,47576,11479
34,47539,11432
34,47738,11425
34,48088,11321
34,48392,11468
34,47697,11406
34,47671,11489
34,47828,11350
35,47205,9732
35,47112,9841
35,47314,9767
35,60415,9602
35,46983,9824
35,46891,9719
35,46798,9824
35,46544,9677
35,47322,9779
35,47364,9718
35,47261,10015
35,47264,9953
35,47615,10044
35,47370,9957
35,47738,10092
35,50014,10067
35,46965,9859
35,49537,10263
35,46961,9724
35,47368,9991
36,48196,11269
36,47893,10938
36,48185,10975
36,48026,11171
36,47818,10927
36,48289,11100
36,48489,10850
36,48271,11019
36,48349,10918
36,48244,10962
36,48016,10878
36,48408,11087
36,48583,11196
36,48403,10888
36,48249,11100
36,48246,11052
36,47910,11010
36,48023,11226
36,48684,11382
36,48139,10972
37,49171,11610
37,49274,10558
37,49088,11572
37,51871,10989
37,49345,11329
37,49422,10694
37,49325,11627
37,49386,10744
37,48855,11977
37,49284,10671
37,48704,11390
37,48890,10819
37,48989,11530
37,49217,10838
37,49049,11383
37,48565,10473
37,49218,11511
37,48670,10360
37,49246,11498
37,49179,10639
38,49519,10585
38,49859,10503
38,49596,10411
38,49092,10574
38,49578,10918
