Pallet: "elections", Extrinsic: "submit_candidacy", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,extrinsic_time,storage_root_time
17,28120,29565
17,29051,29271
17,28805,29454
17,29116,29248
17,28782,29593
17,28364,29970
17,29038,29589
17,28482,29323
18,29146,29545
18,28921,29310
18,29119,29554
18,29314,30009
18,29088,29457
18,29197,29920
18,29108,29695
18,28930,29587
18,29268,29730
18,29138,29550
18,28384,29838
18,29062,29605
18,28824,29563
18,28894,29530
18,29253,29544
18,29444,29402
18,29311,29964
18,29199,29421
18,29410,29453
18,29114,29471
19,29232,29516
19,29612,32761
19,28921,29776
19,29690,29653
19,28726,30509
19,28872,30475
19,29386,29765
19,28282,30494
19,29533,29793
19,29029,29818
19,29031,30444
19,29760,30250
19,29222,29705
19,29507,29806
19,29670,30173
19,29470,29943
19,29237,30143
19,29114,29600
19,29547,29360
19,29183,30039
20,29122,30272
20,29380,30250
20,28739,30712
20,29335,30250
20,28704,30410
20,29447,29998
20,29495,29457
20,29272,30028
20,29262,29939
20,29381,29995
20,29456,30012
20,29230,30317
20,28947,30299
20,29484,29952
20,29702,30245
20,28796,30995
20,29404,29874
20,29113,29889
20,29322,30281
20,29837,30288

Median Slopes Analysis
========

Model:
Time ~=    24.31
    + m    0.266
              µs

Min Squares Analysis
========

Data points distribution:
    m   mean µs  sigma µs       %
    0      22.5     0.067    0.2%
    1     24.03     0.052    0.2%
    2     24.75      0.16    0.6%
    3     25.11     0.088    0.3%
    4     25.56     0.078    0.3%
    5        26     0.076    0.2%
    6     26.18     0.128    0.4%
    7     26.31     0.143    0.5%
    8     26.51     0.108    0.4%
    9     26.85     0.085    0.3%
   10        27     0.106    0.3%
   11     27.37     0.066    0.2%
   12     27.44     0.072    0.2%
   13      27.6     0.152    0.5%
   14     28.13     0.092    0.3%
   15     28.19     0.103    0.3%
   16     28.77     0.082    0.2%
   17     28.77     0.146    0.5%
   18     29.14     0.055    0.1%
   19     29.29     0.163    0.5%
   20     29.31     0.091    0.3%

Quality and confidence:
param     error
m         0.004

Model:
Time ~=    24.04
    + m    0.286
              µs

