Pallet: "utility", Extrinsic: "batch", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
c,extrinsic_time,storage_root_time
900,1678268,38286
900,1697734,42217
900,1710988,39366
900,1704387,41677
900,1729844,54101
900,1809333,43123
900,1680542,38424
900,1685694,39029
950,1810178,39560
950,1774818,39573
950,1794947,41140
950,1847151,44893
950,1813839,40870
950,1772595,39841
950,1779656,42098
950,1804488,41260
950,1789059,40164
950,1771065,39386
950,1860344,42873
950,1774819,41569
950,1770341,39112
950,1803369,39879
950,1773284,38283
950,1770656,39597
950,1809273,40668
950,1799302,40465
950,1799955,38768
950,1847434,41651
1000,1957632,42926
1000,1866806,38424
1000,1859246,38037
1000,2010902,39166
1000,1900976,41554
1000,1920937,38869
1000,1864260,38780
1000,1901907,39381
1000,1862788,38883
1000,1868928,37728
1000,1898203,39128
1000,1923024,40742
1000,1915482,41397
1000,1873134,39935
1000,1902681,45204
1000,1893160,38268
1000,1907690,37850
1000,1911065,38234
1000,1983633,46321
1000,1936230,41076

Median Slopes Analysis
========

Model:
Time ~=    57.62
    + c    1.825
              µs

Min Squares Analysis
========

Data points distribution:
    c   mean µs  sigma µs       %
    0     57.68     0.973    1.6%
   50     149.4     1.844    1.2%
  100     240.1     2.087    0.8%
  150     330.9      3.46    1.0%
  200     420.3     2.024    0.4%
  250     509.3     1.901    0.3%
  300     607.2     7.355    1.2%
  350     695.1     6.641    0.9%
  400     787.2     5.861    0.7%
  450     876.6     5.699    0.6%
  500       967     7.886    0.8%
  550      1072     11.83    1.1%
  600      1167      8.83    0.7%
  650      1244     8.085    0.6%
  700      1351     13.32    0.9%
  750      1424     11.71    0.8%
  800      1528     16.81    1.1%
  850      1627     7.974    0.4%
  900      1705     14.08    0.8%
  950      1792     12.04    0.6%
 1000      1902     12.56    0.6%

Quality and confidence:
param     error
c         0.002

Model:
Time ~=    54.13
    + c     1.84
              µs

