Pallet: "elections", Extrinsic: "report_defunct_voter_incorrect", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,c,extrinsic_time,storage_root_time
15,16,82414,61641
15,16,82573,60982
15,16,81698,60818
15,16,82541,60964
15,16,83047,61078
15,16,82538,61539
15,16,82961,61312
15,16,82694,61198
16,16,82176,61400
16,16,83042,61294
16,16,82609,61494
16,16,82993,61659
16,16,83279,61818
16,16,83048,61491
16,16,82804,62030
16,16,82286,61733
16,16,82920,61167
16,16,82706,61276
16,16,83528,61985
16,16,82757,61977
16,16,86756,62029
16,16,82231,61155
16,16,82864,61734
16,16,82954,61864
16,16,82430,61848
16,16,83093,61955
16,16,82856,61150
16,16,84003,57587
17,16,83488,61766
17,16,83360,62588
17,16,83646,61879
17,16,83282,61673
17,16,83904,62056
17,16,84104,61704
17,16,82782,62603
17,16,83847,62126
17,16,84065,61857
17,16,82940,61842
17,16,83813,61402
17,16,83883,62398
17,16,84054,62039
17,16,83706,61786
17,16,83116,62202
17,16,83652,62435
17,16,83948,61910
17,16,82859,61998
17,16,84096,61456
17,16,85455,60963
18,16,84697,61166
18,16,83969,61606
18,16,83558,60680
18,16,84373,61990
18,16,83703,60701
18,16,84363,60866
18,16,83413,61844
18,16,86587,61491
18,16,83922,61362
18,16,84599,60735
18,16,84155,61412
18,16,84151,60561
18,16,84176,60905
18,16,84293,61297
18,16,84439,61781
18,16,83971,60984
18,16,83872,61349
18,16,84446,61612
18,16,83753,60985
18,16,84088,61151
19,16,83936,61865
19,16,83566,61933
19,16,83434,61939
19,16,83583,62618
19,16,83978,62060
19,16,83578,61813
19,16,83241,61271
19,16,87421,62388
19,16,83792,61532
19,16,84434,61539
19,16,84096,62009
19,16,84666,61535
19,16,84022,61715
19,16,84196,61994
19,16,84353,61947
19,16,83601,62080
19,16,84078,62453
19,16,83834,60952
19,16,83895,61640
19,16,83854,61654
20,16,87117,61907
20,16,84183,62035
20,16,84267,61794
20,16,84197,61435
20,16,83941,61838
20,16,84753,62302
20,16,83936,62048
20,16,84939,61461
20,16,83758,61480
20,16,85401,61745
20,16,83000,62067
20,16,83588,62814
20,16,83818,61579
20,16,84403,61687
20,16,84017,61773
20,16,84031,61896
20,16,83375,61476
20,16,84242,61505
20,16,84373,61819
20,16,84371,62150
20,1,79940,60750
20,1,80257,61204
20,1,83149,61103
20,1,79906,60799
20,1,79949,61031
20,1,79535,61186
20,1,79691,60607
20,1,79928,61051
20,1,79433,60688
20,1,80525,60419
20,1,79694,60526
20,1,80351,60062
20,1,79401,60860
20,1,79656,61327
20,1,79209,61408
20,1,79235,60930
20,1,80501,60779
20,1,79898,61056
20,1,80188,61402
20,1,80656,60897
20,2,80844,60278
20,2,80614,60478
20,2,80659,60239
20,2,79621,60584
20,2,79746,60192
20,2,80558,60128
20,2,81140,61385
20,2,81649,60819
20,2,79545,60180
20,2,81050,60222
20,2,81122,63984
20,2,80320,60641
20,2,80339,60621
20,2,80556,60378
20,2,80064,60261
20,2,80998,60778
20,2,80547,60447
20,2,79701,60489
20,2,80237,59827
20,2,80619,61037
20,3,81216,60589
20,3,80574,60474
20,3,81179,60756
20,3,80437,61199
20,3,81328,60200
20,3,80848,60870
20,3,80770,61648
20,3,81930,61459
20,3,80472,60397
20,3,81014,60474
20,3,81755,60972
20,3,80798,60424
20,3,81376,61044
20,3,94286,61028
20,3,81038,60638
20,3,81381,60728
20,3,83642,60719
20,3,80898,60480
20,3,81099,61529
20,3,81324,61106
20,4,80532,60980
20,4,80370,60756
20,4,80921,61267
20,4,80917,60925
20,4,81251,61177
20,4,81125,61085
20,4,80757,61030
20,4,80465,60889
20,4,81415,60744
20,4,80476,61046
20,4,79732,61379
20,4,80927,61127
20,4,80738,60794
20,4,80305,61027
20,4,80677,60986
20,4,80865,60820
20,4,80710,60379
20,4,80629,79415
20,4,79740,61754
20,4,81122,60400
20,5,84855,61036
20,5,80721,60821
20,5,80851,61684
20,5,81631,61194
20,5,81440,60647
20,5,80899,60343
20,5,80659,61288
20,5,81030,60730
20,5,80350,60417
20,5,81072,60895
20,5,81291,60666
20,5,80745,61229
20,5,80572,60823
20,5,81002,61613
20,5,81167,61331
20,5,80767,61556
20,5,80588,61043
20,5,80602,60764
20,5,81212,60537
20,5,80724,60911
20,6,81906,60344
20,6,81063,61071
20,6,81483,60861
20,6,81495,60931
20,6,81081,61004
20,6,81694,61444
20,6,81818,61345
20,6,81077,61059
20,6,81486,61628
20,6,81057,61184
20,6,81831,60478
20,6,82526,61275
20,6,82040,61268
20,6,81842,60823
20,6,82111,61183
20,6,81537,61299
20,6,82196,60770
20,6,81724,61005
20,6,82093,63707
20,6,82229,60838
20,7,82134,60832
20,7,82289,60672
20,7,82362,61501
20,7,82520,61331
20,7,82629,61324
20,7,82224,61317
20,7,82241,61424
20,7,81013,61622
20,7,81684,61165
20,7,81946,61243
20,7,81841,62139
20,7,84585,57469
20,7,82465,61706
20,7,82003,61494
20,7,81980,61555
20,7,81630,61452
20,7,82409,61177
20,7,82413,60882
20,7,82256,61860
20,7,82588,61219
20,8,81399,62097
20,8,83161,61501
20,8,83948,57007
20,8,84305,57183
20,8,82507,60986
20,8,82335,60550
20,8,81875,61432
20,8,82606,61279
20,8,85534,61611
20,8,82435,61419
20,8,81923,61203
20,8,82162,61094
20,8,82416,61895
20,8,82751,61431
20,8,82232,61347
20,8,82166,61184
20,8,82101,61100
20,8,82230,62195
20,8,84562,57526
20,8,82354,60757
20,9,82243,61805
20,9,82583,62555
20,9,81926,64403
20,9,82069,61979
20,9,82678,61863
20,9,82266,60951
20,9,82695,61948
20,9,82753,61378
20,9,82273,61527
20,9,83684,62520
20,9,82699,61676
20,9,82468,61559
20,9,82222,61695
20,9,82666,61399
20,9,82398,61886
20,9,82433,61473
20,9,83442,61126
20,9,81972,61873
20,9,82646,62080
20,9,81845,61304
20,10,82418,62223
20,10,82072,61658
20,10,81827,60401
20,10,81626,61343
20,10,82032,61344
20,10,82201,60966
20,10,82185,61733
20,10,82721,62266
20,10,83485,62019
20,10,82614,61275
