Pallet: "vesting", Extrinsic: "vested_transfer", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
l,extrinsic_time,storage_root_time
19,118026,84944
19,118778,83589
19,118058,83944
19,118242,83446
19,118570,83443
19,118496,83927
19,118565,83250
19,118471,84660
19,118469,83211
19,119312,83508
20,118186,85625
20,120929,83424
20,117958,83822
20,117912,83337
20,117062,83128
20,117713,84827
20,117852,83871
20,117858,83453
20,118251,83548
20,117215,83351
20,118356,83577
20,118001,84203
20,117831,83557
20,117796,83181
20,118526,83412
20,117827,83875
20,117989,83644
20,118100,85509
20,117478,84042
20,117983,83268

Median Slopes Analysis
========

Model:
Time ~=    112.3
    + l    0.282
              µs

Min Squares Analysis
========

Data points distribution:
    l   mean µs  sigma µs       %
    0     114.5     0.254    0.2%
    1     104.8     0.277    0.2%
    2     112.4     0.133    0.1%
    3     113.2     0.155    0.1%
    4     113.4     0.078    0.0%
    5     113.5     0.235    0.2%
    6     114.5     0.135    0.1%
    7     113.3     0.126    0.1%
    8       114     0.119    0.1%
    9     115.8     0.105    0.0%
   10     115.5     0.109    0.0%
   11       116     0.276    0.2%
   12     116.4     0.166    0.1%
   13     115.4     0.172    0.1%
   14     115.1     0.219    0.1%
   15     116.6     0.079    0.0%
   16     116.4     0.135    0.1%
   17       117     0.149    0.1%
   18     116.9     0.142    0.1%
   19     118.4      0.14    0.1%
   20     117.9     0.085    0.0%

Quality and confidence:
param     error
l          0.02

Model:
Time ~=    111.4
    + l    0.345
              µs

