Pallet: "collective", Extrinsic: "propose_proposed", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
229,100,1024,129490,48294
229,100,1024,130493,48664
229,100,1024,128493,48457
229,100,1024,129650,48449
229,100,1024,130802,48627
229,100,1024,129827,48390
229,100,1024,130285,51533
229,100,1024,129813,48353
229,100,1024,128310,48478
229,100,1024,129190,48531
229,100,1024,129131,48316
229,100,1024,129661,48451
229,100,1024,129743,48578
229,100,1024,130118,48372
229,100,1024,129015,48049
229,100,1024,129235,48260
229,100,1024,128553,48642
229,100,1024,132808,48115
229,100,1024,129213,48760
229,100,1024,129943,48356
248,100,1024,130466,48196
248,100,1024,130867,48055
248,100,1024,131201,48492
248,100,1024,131594,48303
248,100,1024,131395,48407
248,100,1024,132066,48501
248,100,1024,130973,48594
248,100,1024,131236,48172
248,100,1024,131185,48601
248,100,1024,131173,48483
248,100,1024,131381,48246
248,100,1024,131262,48625
248,100,1024,131088,48873
248,100,1024,131112,48274
248,100,1024,133670,48946
248,100,1024,130838,48249
248,100,1024,130919,48029
248,100,1024,131097,48169
248,100,1024,130906,48439
248,100,1024,131358,48813
267,100,1024,133484,48153
267,100,1024,133808,48402
267,100,1024,133761,48185
267,100,1024,133345,48247
267,100,1024,132076,48208
267,100,1024,136383,49062
267,100,1024,133478,48947
267,100,1024,133434,48542
267,100,1024,133724,48378
267,100,1024,133454,48313
267,100,1024,132435,48534
267,100,1024,133283,48262
267,100,1024,133609,48125
267,100,1024,132841,48541
267,100,1024,133784,48530
267,100,1024,133377,47954
267,100,1024,132991,48704
267,100,1024,133079,48004
267,100,1024,132928,48862
267,100,1024,134772,63113
286,100,1024,135586,48217
286,100,1024,135734,48106
286,100,1024,134814,48175
286,100,1024,136135,48635
286,100,1024,135234,50748
286,100,1024,135645,48187
286,100,1024,135222,47788
286,100,1024,136601,48481
286,100,1024,135218,48104
286,100,1024,135029,47796
286,100,1024,135621,48140
286,100,1024,135844,48734
286,100,1024,135664,48300
286,100,1024,135663,48519
286,100,1024,135406,48167
286,100,1024,135461,49046
286,100,1024,136112,48774
286,100,1024,135289,48586
286,100,1024,135301,48841
286,100,1024,135304,48456
305,100,1024,137445,48143
305,100,1024,137675,48685
305,100,1024,136341,48636
305,100,1024,136948,48482
305,100,1024,137083,48801
305,100,1024,136813,48295
305,100,1024,137095,48612
305,100,1024,136748,48812
305,100,1024,136664,48523
305,100,1024,136941,48397
305,100,1024,137351,48860
305,100,1024,136914,48576
305,100,1024,137026,48471
305,100,1024,137513,48316
305,100,1024,136718,48456
305,100,1024,136520,48493
305,100,1024,137221,48417
305,100,1024,136919,48432
305,100,1024,136453,48112
305,100,1024,137613,48128
324,100,1024,140150,48437
324,100,1024,139698,48762
324,100,1024,140321,48355
324,100,1024,139604,48495
324,100,1024,139144,47943
324,100,1024,140027,48586
324,100,1024,139076,48585
324,100,1024,139399,48452
324,100,1024,139908,48494
324,100,1024,140662,47860
324,100,1024,139795,48551
324,100,1024,140078,48206
324,100,1024,140146,48531
