Pallet: "democracy", Extrinsic: "fast_track", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
p,extrinsic_time,storage_root_time
77,97913,58509
77,96389,58322
77,128847,59866
77,97588,57308
77,97533,58593
77,96813,57284
77,99219,59611
77,95830,58446
77,96226,59014
81,153735,62984
81,93754,57969
81,92163,56869
81,92470,56990
81,90688,56959
81,97246,59440
81,109864,61342
81,97500,70521
81,98051,65313
81,100256,61409
81,97952,59351
81,97983,58077
81,96977,57838
81,94794,58048
81,90871,55512
81,91635,58053
81,90891,76640
81,92883,58859
81,93814,58747
81,97360,57939
85,96677,57568
85,96509,58393
85,107293,70462
85,98575,59618
85,97709,58450
85,122559,96933
85,99911,59151
85,99164,58777
85,96724,58537
85,129584,60860
85,96784,59629
85,93326,58322
85,91331,118343
85,98343,59610
85,96308,58490
85,123084,61428
85,97034,61095
85,164930,60876
85,122664,60394
85,98423,59041
89,115847,60074
89,97665,58781
89,94734,57769
89,96810,59346
89,123970,146996
89,98798,59327
89,104127,61019
89,97168,57577
89,95148,58858
89,92580,56960
89,118051,90077
89,105208,63124
89,98242,60326
89,123080,62095
89,135392,61602
89,150371,83811
89,100038,59003
89,109968,97192
89,98892,59197
89,103415,57921
93,105254,60608
93,129355,59241
93,91812,78938
93,92151,57483
93,91230,92965
93,93440,57841
93,96247,59066
93,96875,58626
93,96565,58536
93,100035,59954
93,96500,57726
93,97393,58077
93,95662,58708
93,97736,59318
93,97332,59458
93,96640,62823
93,97666,90448
93,99091,60184
93,97737,59484
93,99184,60584
97,97361,56916
97,96399,58615
97,91980,56981
97,91709,56875
97,123959,59285
97,105607,59551
97,113130,62106
97,96873,57427
97,93091,92047
97,92027,68349
97,92836,57344
97,93460,58266
97,92735,65961
97,94948,58890
97,147472,61860
97,129331,61469
97,98493,90295
97,98849,59169
97,103217,59914
97,96735,58278

Median Slopes Analysis
========

Model:
Time ~=    98.28
    + p        0
              µs

Min Squares Analysis
========

Data points distribution:
    p   mean µs  sigma µs       %
    1     101.2     6.555    6.4%
    5     102.7     7.313    7.1%
    9     98.17     0.944    0.9%
   13     100.9      5.05    5.0%
   17     97.29     0.838    0.8%
   21     99.94     1.964    1.9%
   25     102.4     3.925    3.8%
   29     98.38     2.221    2.2%
   33     97.25     0.687    0.7%
   37     96.79     0.482    0.4%
   41     96.46     1.013    1.0%
   45     97.73       1.8    1.8%
   49     99.01     2.016    2.0%
   53     95.63     1.377    1.4%
   57     98.41       1.2    1.2%
   61     105.7     9.323    8.8%
   65     101.9     7.183    7.0%
   69     98.54     2.796    2.8%
   73     95.43     1.381    1.4%
   77     97.59       0.9    0.9%
   81     95.47     2.027    2.1%
   85     98.99     2.935    2.9%
   89     103.2     5.602    5.4%
   93     97.06     0.538    0.5%
   97     96.94     2.772    2.8%

Quality and confidence:
param     error
p          0.01

Model:
Time ~=    99.93
    + p        0
              µs

