Pallet: "balances", Extrinsic: "transfer", Steps: 100, Repeat: 10
E,U,time
407,500,596000
407,500,613000
407,500,606000
407,500,603000
407,500,589000
407,500,750000
407,500,693000
407,500,694000
407,500,624000
407,500,605000
416,500,600000
416,500,610000
416,500,632000
416,500,612000
416,500,582000
416,500,1045000
416,500,579000
416,500,603000
416,500,628000
416,500,601000
425,500,592000
425,500,590000
425,500,608000
425,500,643000
425,500,606000
425,500,611000
425,500,609000
425,500,598000
425,500,609000
425,500,612000
434,500,594000
434,500,589000
434,500,623000
434,500,606000
434,500,595000
434,500,608000
434,500,616000
434,500,599000
434,500,605000
434,500,830000
443,500,605000
443,500,602000
443,500,612000
443,500,602000
443,500,598000
443,500,606000
443,500,661000
443,500,608000
443,500,605000
443,500,650000
452,500,607000
452,500,612000
452,500,607000
452,500,602000
452,500,612000
452,500,594000
452,500,607000
452,500,604000
452,500,602000
452,500,604000
461,500,666000
461,500,602000
461,500,615000
461,500,605000
461,500,636000
461,500,606000
461,500,611000
461,500,612000
461,500,652000
461,500,674000
470,500,611000
470,500,598000
470,500,609000
470,500,604000
470,500,610000
470,500,602000
470,500,602000
470,500,625000
470,500,604000
470,500,608000
479,500,679000
479,500,666000
479,500,610000
479,500,590000
479,500,668000
479,500,611000
479,500,593000
479,500,601000
479,500,625000
479,500,612000
488,500,600000
488,500,587000
488,500,606000
488,500,658000
488,500,607000
488,500,594000
488,500,892000
488,500,611000
488,500,612000
488,500,753000
497,500,591000
497,500,635000
497,500,731000
497,500,633000
497,500,628000
497,500,601000
497,500,778000
497,500,569000
497,500,853000
497,500,640000
506,500,613000
506,500,630000
506,500,615000
506,500,969000
506,500,653000
506,500,1022000
506,500,641000
506,500,771000
506,500,618000
506,500,608000
515,500,653000
515,500,604000
515,500,592000
515,500,655000
515,500,593000
515,500,603000
515,500,597000
515,500,594000
515,500,598000
515,500,583000
524,500,623000
524,500,602000
524,500,588000
524,500,601000
524,500,601000
524,500,602000
524,500,596000
524,500,609000
524,500,606000
524,500,618000
533,500,598000
533,500,608000
533,500,615000
533,500,663000
533,500,602000
533,500,586000
533,500,601000
533,500,649000
533,500,600000
533,500,605000
542,500,588000
542,500,587000
542,500,607000
542,500,588000
542,500,593000
542,500,607000
542,500,647000
542,500,589000
542,500,616000
542,500,596000
551,500,616000
551,500,613000
551,500,598000
551,500,599000
551,500,604000
551,500,594000
551,500,622000
551,500,625000
551,500,668000
551,500,612000
560,500,600000
560,500,601000
560,500,615000
560,500,599000
560,500,616000
560,500,608000
560,500,614000
560,500,612000
560,500,606000
560,500,611000
569,500,610000
569,500,621000
569,500,592000
569,500,609000
569,500,600000
569,500,594000
569,500,609000
569,500,608000
569,500,624000
569,500,611000
578,500,642000
578,500,606000
578,500,582000
578,500,584000
578,500,648000
578,500,608000
578,500,588000
578,500,576000
578,500,598000
578,500,601000
587,500,612000
587,500,576000
587,500,587000
587,500,605000
587,500,605000
587,500,607000
587,500,583000
587,500,591000
587,500,606000
587,500,598000
596,500,578000
596,500,588000
596,500,598000
596,500,602000
596,500,598000
596,500,595000
596,500,608000
596,500,572000
596,500,575000
596,500,591000
605,500,619000
605,500,612000
605,500,583000
605,500,630000
605,500,652000
605,500,597000
605,500,583000
605,500,641000
605,500,573000
605,500,589000
614,500,592000
614,500,613000
614,500,575000
614,500,601000
614,500,614000
614,500,652000
614,500,584000
614,500,599000
614,500,603000
614,500,606000
623,500,625000
623,500,601000
623,500,588000
623,500,593000
623,500,596000
623,500,600000
623,500,604000
623,500,608000
623,500,602000
623,500,655000
632,500,597000
632,500,611000
632,500,657000
632,500,597000
632,500,614000
632,500,595000
632,500,616000
632,500,591000
632,500,597000
632,500,585000
641,500,640000
641,500,622000
641,500,646000
641,500,618000
641,500,615000
641,500,616000
641,500,613000
641,500,632000
641,500,664000
641,500,772000
650,500,723000
650,500,602000
650,500,610000
650,500,633000
650,500,641000
650,500,625000
650,500,626000
650,500,714000
650,500,660000
650,500,622000
659,500,632000
659,500,711000
659,500,787000
659,500,600000
659,500,596000
659,500,586000
659,500,1049000
659,500,922000
659,500,589000
659,500,617000
668,500,722000
668,500,613000
668,500,606000
668,500,607000
668,500,602000
668,500,641000
668,500,651000
668,500,612000
668,500,613000
668,500,608000
677,500,618000
677,500,611000
677,500,606000
677,500,608000
677,500,579000
677,500,866000
677,500,666000
677,500,623000
677,500,614000
677,500,584000
686,500,591000
686,500,744000
686,500,661000
686,500,591000
686,500,606000
686,500,607000
686,500,604000
686,500,661000
686,500,598000
686,500,608000
695,500,600000
695,500,595000
695,500,631000
695,500,610000
695,500,597000
695,500,659000
695,500,638000
695,500,730000
695,500,691000
695,500,589000
704,500,586000
704,500,601000
704,500,660000
704,500,603000
704,500,1107000
704,500,667000
704,500,587000
704,500,570000
704,500,581000
704,500,609000
713,500,636000
713,500,597000
713,500,586000
713,500,611000
713,500,588000
713,500,591000
713,500,617000
713,500,599000
713,500,610000
713,500,605000
722,500,596000
722,500,591000
722,500,695000
722,500,605000
722,500,597000
722,500,596000
722,500,838000
722,500,631000
722,500,613000
722,500,609000
731,500,603000
731,500,618000
731,500,620000
731,500,615000
731,500,606000
731,500,641000
731,500,627000
731,500,622000
731,500,617000
731,500,623000
740,500,604000
740,500,591000
740,500,597000
740,500,821000
740,500,589000
740,500,601000
740,500,577000
740,500,599000
740,500,578000
740,500,595000
749,500,586000
749,500,618000
749,500,601000
749,500,602000
749,500,696000
749,500,606000
749,500,645000
749,500,644000
749,500,584000
749,500,594000
758,500,579000
758,500,571000
758,500,592000
758,500,609000
758,500,606000
758,500,606000
758,500,595000
758,500,598000
758,500,601000
758,500,598000
767,500,610000
767,500,607000
767,500,605000
767,500,624000
767,500,613000
767,500,607000
767,500,606000
767,500,618000
767,500,625000
767,500,611000
776,500,594000
776,500,591000
776,500,598000
776,500,672000
776,500,596000
776,500,603000
776,500,591000
776,500,601000
776,500,594000
776,500,753000
785,500,634000
