Pallet: "pallet-staking", Extrinsic: "payout_validator", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
n,extrinsic_time,storage_root_time
1,3178975,261715
1,3215577,184511
1,4344839,186810
1,3795909,188811
1,3374786,185710
1,5913025,188811
1,4694358,190011
1,3386987,180510
1,4282836,193211
1,3155173,186910
2,5033177,189610
2,4049223,229813
2,5404598,304516
2,3332983,189111
2,3276180,187711
2,3421788,187911
2,3432289,190611
2,5592408,306817
2,4030522,225612
2,4086425,223513
3,3877714,211411
3,4929872,192710
3,3977919,213212
3,4513248,224113
3,5468401,315518
3,3570496,186811
3,3280780,189011
3,3232078,192211
3,4126027,227413
3,3580097,192411
4,4377641,214312
4,3670602,176910
4,3260080,189710
4,5615510,316017
4,3340884,180210
4,3783309,189210
4,3154374,189610
4,3582198,194011
4,3358485,192610
4,4854267,192410
5,5101581,192911
5,5717715,454725
5,5442600,311717
5,3263080,181410
5,3490792,179310
5,3622400,191710
5,3611199,206911
5,5313293,179410
5,3990320,288316
5,3298982,200211
6,3791809,174409
6,4867069,268414
6,3194476,184410
6,3777708,217612
6,4538850,257415
6,5213387,190311
6,3697203,202612
6,5068979,240514
6,6208743,315517
6,4581852,257015
7,4026822,189311
7,3181075,174410
7,4555651,182110
7,4890170,277515
7,3526894,209711
7,2642045,189611
7,5244289,294217
7,3584598,185810
7,11412530,191210
7,4553751,230513
8,3237879,190810
8,4497148,194911
8,3694604,212811
8,4415544,249913
8,3519994,195011
8,5485303,315717
8,5786319,194310
8,4519149,191110
8,3870314,218912
8,4601553,184510
9,4948273,276816
9,3540596,261814
9,4095826,226913
9,3941517,191911
9,3543596,188510
9,3296882,197511
9,3106271,208912
9,4316538,190911
9,3129172,172710
9,3669102,236713
10,4189131,195811
10,4255635,571631
10,3389987,202311
10,3901115,250714
10,4227233,234713
10,3086870,217412
10,3572597,203411
10,4531950,445224
10,5462601,347920
10,5487003,216312
11,3787209,209512
11,3370986,216312
11,4022922,212611
11,3336084,246513
11,4739461,302317
11,3609800,251913
11,3123472,213512
11,3661202,215812
11,3288982,204411
11,3745507,372520
12,3469691,218212
12,3880714,252914
12,3576997,198611
12,5082281,353819
12,3144473,200311
12,3434889,254214
12,4231134,270115
12,4677358,187511
12,5588908,218212
12,4342640,274115
13,3500294,200211
13,3302382,641336
13,3113272,213512
13,4654657,302017
13,3445891,216612
13,5803520,334119
13,5484903,356819
13,4310038,219012
13,4623656,301516
13,4101126,211312
14,3423389,216412
14,4453946,282415
14,3966719,222312
14,3693004,211912
14,4618355,282816
14,4895170,321818
14,5026778,318718
14,5341395,353020
14,4941873,314617
14,5296893,333818
15,3217677,215611
15,3946618,210311
15,5448701,365420
15,5629111,358020
15,3300882,215712
15,3747707,246613
15,5020678,217512
15,4591154,209111
15,4975774,318018
15,4076725,187011
16,3254580,216412
16,4621955,305817
16,5539106,247513
16,3327183,205911
16,3582998,206012
16,3117173,202411
16,4452646,186910
16,5288092,338819
16,3150074,201112
16,4935873,179210
