Pallet: "pallet-staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
e,extrinsic_time,storage_root_time
1,382122,280715
1,373121,283315
1,372921,279515
1,801844,366020
1,242613,175410
1,279715,203811
1,290516,215212
1,382321,281816
1,276615,204711
1,230713,170009
10,1232168,445925
10,1966809,787744
10,915451,414823
10,1841602,732040
10,2011111,768043
10,2006011,773243
10,1962409,843047
10,1956308,774843
10,1394578,460425
10,1625490,641335
19,3384287,1204167
19,2276826,804344
19,1826901,668537
19,2571043,903750
19,1947208,875148
19,2173220,908750
19,3642701,1291372
19,2669848,672937
19,3647001,1306273
19,3627800,1314573
28,5245190,1167765
28,3029167,965754
28,4825867,1856803
28,4958774,1733996
28,3520294,1859103
28,5018477,1051459
28,3111572,1087560
28,3194076,1136062
28,2626545,976354
28,5236490,1359275
37,4698660,982254
37,4235134,1376777
37,5960030,1740796
37,4021023,1238568
37,6315450,1282871
37,6717071,1270370
37,4036323,1299572
37,4814067,1264170
37,6208044,1409378
37,5548507,1277571
46,5984031,1136263
46,8258457,1591088
46,4936874,1660691
46,6304049,1621290
46,5041679,1774498
46,7296103,1637690
46,4515350,1526884
46,5241790,1217367
46,5737117,1751297
46,5015177,1746797
55,5467903,1769998
55,8287058,1905806
55,7997643,1924706
55,7193198,1968408
55,7290504,2140718
55,6571064,1811100
55,6561063,1771798
55,6033134,1866903
55,9887346,1738497
55,7120994,1691794
64,9586030,2324629
64,6731372,1551286
64,9175907,2047314
64,6779475,1837501
64,7431711,2461236
64,11056211,2154920
64,10884402,1944807
64,11145717,2143718
64,8208854,3073070
64,10080757,2170320
73,10167163,3622400
73,10520582,2696849
73,11145016,2330529
73,11397330,2740252
73,9148406,2375231
73,8364163,2515839
73,11848956,2725551
73,9062501,2324729
73,9919649,2265325
73,9342517,2262625
82,10206464,2815756
82,10356973,2835056
82,8805087,2567542
82,9956951,2881760
82,12553894,2404533
82,12585896,2878059
82,12974818,3237279
82,10602587,3631601
82,7454912,3482793
82,10727893,2804656
91,10541283,3345486
91,10874202,3155674
91,10510481,3003767
91,11871757,3058069
91,10969907,2971164
91,17605674,3386587
91,12445189,3224378
91,10059456,3091071
91,13330838,2755852
91,10671990,3061570
100,12498192,3310983
100,14454999,3585199
100,11994764,3389588
100,15975184,3439891
100,16437109,3406289
100,13154928,3444990
100,12767006,3350786
100,11753150,3732507
100,11219321,3093671
100,11329827,3466692
