Pallet: "pallet-staking", Extrinsic: "set_invulnerables", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
v,extrinsic_time,storage_root_time
0,27502,370420
0,35502,287816
0,36402,404822
0,28002,114506
0,34902,151808
0,31602,262914
0,30802,289215
0,35602,430924
0,31002,379320
0,34102,401122
100,31402,377221
100,40003,177609
100,31301,366821
100,38002,324718
100,35802,402522
100,37002,438824
100,40803,417022
100,31802,1734095
100,35902,398722
100,29801,112907
200,37902,261215
200,39602,293416
200,43103,485326
200,31402,284915
200,43802,404322
200,35502,158209
200,39202,389921
200,36702,152408
200,44102,354719
200,41703,406922
300,43503,188910
300,46903,413022
300,46903,405322
300,33601,261515
300,44302,404622
300,41402,407123
300,46003,591132
300,45602,476727
300,47403,206511
300,46102,210912
400,53603,483626
400,37403,154708
400,37502,377921
400,51403,423023
400,37302,265814
400,36202,132407
400,53103,501227
400,40102,378921
400,50203,212911
400,45102,231112
500,59004,541229
500,54503,232913
500,50302,402222
500,67204,500027
500,39902,216112
500,48103,476726
500,47403,418723
500,38802,297516
500,49502,427024
500,56103,228712
600,60103,238013
600,82204,510528
600,56303,534630
600,59603,475826
600,54303,456525
600,45003,160609
600,78405,305316
600,49603,399021
600,77505,273415
600,55103,300017
700,62003,293116
700,62804,246613
700,90105,557730
700,63404,465525
700,48703,311817
700,49503,301917
700,57503,421723
700,66104,357920
700,83104,436524
700,57903,526929
800,83404,515429
800,78004,620534
800,47203,391021
800,55303,317817
800,63904,272715
800,66903,450425
800,64903,588633
800,68604,587332
800,61803,476726
800,67004,578532
900,103306,464725
900,69504,513028
900,52903,327718
900,73004,570031
900,50303,327118
900,66103,339719
900,63003,397522
900,102105,558731
900,69404,436224
900,103006,502828
1000,63804,518428
1000,98305,490526
1000,107806,510528
1000,74604,489027
1000,75404,333618
1000,75704,347019
1000,74304,560130
1000,74404,338319
1000,74504,489126
1000,85705,489027
