Pallet: "balances", Extrinsic: "transfer_idle_users", Lowest values: [], Highest values: [10000], Steps: [2], Repeat: 2
u,e,extrinsic_time,storage_root_time
1,1000,499000,85000
1,1000,460000,61000
5000,1000,6266000,711000
5000,1000,6281000,1057000
9999,1000,17412000,1906000
9999,1000,19969000,2527000
10000,2,16483000,3238000
10000,2,15782000,1685000
10000,501,23052000,2124000
10000,501,22253000,2126000
10000,1000,16154000,1953000
10000,1000,14454000,1761000
