Pallet: "balances", Extrinsic: "transfer_keep_alive", Steps: 100, Repeat: 10
E,U,time
407,500,419000
407,500,418000
407,500,396000
407,500,391000
407,500,405000
407,500,435000
407,500,409000
407,500,400000
407,500,376000
407,500,407000
416,500,388000
416,500,403000
416,500,383000
416,500,366000
416,500,394000
416,500,401000
416,500,414000
416,500,388000
416,500,381000
416,500,403000
425,500,405000
425,500,388000
425,500,425000
425,500,391000
425,500,388000
425,500,372000
425,500,379000
425,500,401000
425,500,385000
425,500,381000
434,500,416000
434,500,386000
434,500,399000
434,500,375000
434,500,393000
434,500,394000
434,500,407000
434,500,393000
434,500,400000
434,500,394000
443,500,411000
443,500,396000
443,500,407000
443,500,398000
443,500,380000
443,500,395000
443,500,388000
443,500,397000
443,500,372000
443,500,376000
452,500,379000
452,500,405000
452,500,381000
452,500,396000
452,500,386000
452,500,432000
452,500,371000
452,500,504000
452,500,402000
452,500,389000
461,500,386000
461,500,393000
461,500,383000
461,500,430000
461,500,389000
461,500,402000
461,500,409000
461,500,382000
461,500,381000
461,500,401000
470,500,394000
470,500,394000
470,500,391000
470,500,413000
470,500,410000
470,500,502000
470,500,399000
470,500,491000
470,500,380000
470,500,368000
479,500,370000
479,500,397000
479,500,369000
479,500,391000
479,500,392000
479,500,398000
479,500,396000
479,500,388000
479,500,395000
479,500,460000
488,500,399000
488,500,389000
488,500,394000
488,500,407000
488,500,385000
488,500,386000
488,500,389000
488,500,389000
488,500,392000
488,500,393000
497,500,381000
497,500,397000
497,500,453000
497,500,506000
497,500,375000
497,500,408000
497,500,382000
497,500,407000
497,500,377000
497,500,378000
506,500,386000
506,500,378000
506,500,388000
506,500,475000
506,500,407000
506,500,384000
506,500,381000
506,500,392000
506,500,390000
506,500,382000
515,500,389000
515,500,392000
515,500,389000
515,500,387000
515,500,386000
515,500,421000
515,500,382000
515,500,387000
515,500,387000
515,500,400000
524,500,399000
524,500,391000
524,500,380000
524,500,405000
524,500,386000
524,500,402000
524,500,385000
524,500,405000
524,500,386000
524,500,389000
533,500,380000
533,500,497000
533,500,401000
533,500,399000
533,500,422000
533,500,380000
533,500,403000
533,500,386000
533,500,398000
533,500,385000
542,500,391000
542,500,401000
542,500,401000
542,500,397000
542,500,393000
542,500,407000
542,500,394000
542,500,387000
542,500,379000
542,500,388000
551,500,397000
551,500,388000
551,500,393000
551,500,394000
551,500,395000
551,500,404000
551,500,383000
551,500,366000
551,500,388000
551,500,390000
560,500,399000
560,500,386000
560,500,393000
560,500,397000
560,500,381000
560,500,375000
560,500,389000
560,500,402000
560,500,376000
560,500,407000
569,500,397000
569,500,383000
569,500,418000
569,500,384000
569,500,393000
569,500,397000
569,500,401000
569,500,395000
569,500,396000
569,500,424000
578,500,396000
578,500,388000
578,500,395000
578,500,376000
578,500,405000
578,500,413000
578,500,400000
578,500,381000
578,500,392000
578,500,376000
587,500,369000
587,500,393000
587,500,392000
587,500,383000
587,500,410000
587,500,374000
587,500,388000
587,500,384000
587,500,389000
587,500,417000
596,500,401000
596,500,382000
596,500,403000
596,500,395000
596,500,386000
596,500,376000
596,500,388000
596,500,391000
596,500,406000
596,500,389000
605,500,395000
605,500,363000
605,500,397000
605,500,396000
605,500,396000
605,500,373000
605,500,443000
605,500,398000
605,500,404000
605,500,381000
614,500,434000
614,500,385000
614,500,392000
614,500,387000
614,500,407000
614,500,378000
614,500,391000
614,500,387000
614,500,389000
614,500,393000
623,500,394000
623,500,397000
623,500,408000
623,500,395000
623,500,409000
623,500,378000
623,500,398000
623,500,380000
623,500,395000
623,500,381000
632,500,401000
632,500,399000
632,500,396000
632,500,391000
632,500,394000
632,500,396000
632,500,400000
632,500,392000
632,500,400000
632,500,409000
641,500,389000
641,500,390000
641,500,386000
641,500,394000
641,500,396000
641,500,402000
641,500,380000
641,500,391000
641,500,393000
641,500,381000
650,500,398000
650,500,393000
650,500,395000
650,500,368000
650,500,398000
650,500,393000
650,500,399000
650,500,377000
650,500,392000
650,500,391000
659,500,399000
659,500,393000
659,500,412000
659,500,393000
659,500,411000
659,500,397000
659,500,379000
659,500,388000
659,500,389000
659,500,393000
668,500,383000
668,500,380000
668,500,397000
668,500,389000
668,500,379000
668,500,390000
668,500,409000
668,500,397000
668,500,393000
668,500,444000
677,500,399000
677,500,403000
677,500,383000
677,500,490000
677,500,400000
677,500,399000
677,500,393000
677,500,396000
677,500,439000
677,500,411000
686,500,432000
686,500,581000
686,500,415000
686,500,466000
686,500,397000
686,500,381000
686,500,412000
686,500,393000
686,500,398000
686,500,499000
695,500,388000
695,500,387000
695,500,384000
695,500,405000
695,500,391000
695,500,397000
695,500,389000
695,500,371000
695,500,385000
695,500,382000
704,500,389000
704,500,375000
704,500,382000
704,500,391000
704,500,407000
704,500,389000
704,500,420000
704,500,383000
704,500,405000
704,500,396000
713,500,417000
713,500,390000
713,500,405000
713,500,385000
713,500,387000
713,500,396000
713,500,403000
713,500,394000
713,500,384000
713,500,385000
722,500,395000
722,500,382000
722,500,398000
722,500,395000
722,500,383000
722,500,393000
722,500,401000
722,500,395000
722,500,403000
722,500,392000
731,500,386000
731,500,381000
731,500,397000
731,500,430000
731,500,382000
731,500,389000
731,500,364000
731,500,397000
731,500,387000
731,500,386000
740,500,383000
740,500,388000
740,500,393000
740,500,374000
740,500,394000
740,500,375000
740,500,380000
740,500,413000
740,500,385000
740,500,393000
749,500,378000
749,500,392000
749,500,406000
749,500,359000
749,500,383000
749,500,398000
749,500,409000
749,500,406000
749,500,383000
749,500,396000
758,500,440000
758,500,389000
758,500,376000
758,500,397000
758,500,365000
758,500,443000
758,500,386000
