Pallet: "pallet-identity", Extrinsic: "provide_judgement", Steps: 10, Repeat: 100
R,X,time
17,50,502000
17,50,500000
17,50,492000
17,50,497000
17,50,490000
17,50,502000
17,50,496000
17,50,505000
17,50,495000
17,50,497000
17,50,509000
17,50,496000
17,50,497000
17,50,507000
17,50,501000
17,50,498000
17,50,497000
17,50,492000
17,50,488000
17,50,501000
17,50,507000
17,50,509000
17,50,558000
17,50,502000
17,50,497000
17,50,504000
17,50,497000
17,50,492000
17,50,497000
17,50,483000
17,50,502000
17,50,504000
17,50,493000
17,50,490000
17,50,504000
17,50,500000
17,50,472000
17,50,544000
17,50,497000
17,50,497000
17,50,491000
17,50,492000
17,50,488000
17,50,496000
17,50,487000
17,50,497000
17,50,495000
17,50,511000
17,50,540000
17,50,488000
21,50,499000
21,50,484000
21,50,529000
21,50,502000
21,50,575000
21,50,508000
21,50,481000
21,50,485000
21,50,510000
21,50,499000
21,50,495000
21,50,507000
21,50,497000
21,50,1039000
21,50,498000
21,50,505000
21,50,560000
21,50,494000
21,50,492000
21,50,759000
21,50,782000
21,50,535000
21,50,480000
21,50,502000
21,50,500000
21,50,498000
21,50,539000
21,50,501000
21,50,499000
21,50,497000
21,50,490000
21,50,491000
21,50,492000
21,50,501000
21,50,493000
21,50,507000
21,50,499000
21,50,749000
21,50,537000
21,50,520000
21,50,499000
21,50,489000
21,50,490000
21,50,501000
21,50,503000
21,50,495000
21,50,530000
21,50,506000
21,50,494000
21,50,502000
21,50,509000
21,50,497000
21,50,507000
21,50,499000
21,50,508000
21,50,495000
21,50,516000
21,50,481000
21,50,511000
21,50,546000
21,50,500000
21,50,648000
21,50,502000
21,50,501000
21,50,500000
21,50,496000
21,50,492000
21,50,502000
21,50,649000
21,50,504000
21,50,504000
21,50,501000
21,50,485000
21,50,503000
21,50,501000
21,50,502000
21,50,502000
21,50,503000
21,50,505000
21,50,546000
21,50,504000
21,50,502000
21,50,490000
21,50,512000
21,50,500000
21,50,484000
21,50,501000
21,50,501000
21,50,502000
21,50,490000
21,50,499000
21,50,501000
21,50,496000
21,50,503000
21,50,484000
21,50,493000
21,50,505000
21,50,491000
21,50,496000
21,50,499000
25,50,505000
25,50,509000
25,50,504000
25,50,592000
25,50,501000
25,50,508000
25,50,500000
25,50,504000
25,50,485000
25,50,523000
25,50,554000
25,50,504000
25,50,508000
25,50,510000
25,50,475000
25,50,507000
25,50,499000
25,50,508000
25,50,504000
25,50,542000
25,50,504000
25,50,507000
25,50,510000
25,50,511000
25,50,499000
25,50,502000
25,50,509000
25,50,502000
25,50,504000
25,50,492000
25,50,508000
25,50,521000
25,50,506000
25,50,503000
25,50,509000
25,50,508000
25,50,509000
25,50,509000
25,50,495000
25,50,506000
25,50,491000
25,50,495000
25,50,491000
25,50,501000
25,50,502000
25,50,507000
25,50,484000
25,50,506000
25,50,510000
25,50,513000
25,50,499000
25,50,513000
25,50,528000
25,50,498000
25,50,540000
25,50,510000
25,50,499000
25,50,485000
25,50,511000
25,50,495000
25,50,501000
25,50,493000
25,50,515000
25,50,515000
25,50,520000
25,50,507000
25,50,506000
25,50,514000
25,50,505000
25,50,553000
25,50,503000
25,50,509000
25,50,506000
25,50,506000
25,50,510000
25,50,508000
25,50,511000
25,50,515000
25,50,490000
25,50,514000
25,50,512000
25,50,512000
25,50,512000
25,50,509000
25,50,490000
25,50,505000
25,50,484000
25,50,488000
25,50,509000
25,50,514000
25,50,492000
25,50,510000
25,50,510000
25,50,524000
25,50,511000
25,50,510000
25,50,503000
25,50,511000
25,50,512000
25,50,505000
29,50,516000
29,50,531000
29,50,527000
29,50,521000
29,50,521000
29,50,524000
29,50,503000
29,50,520000
29,50,519000
29,50,521000
29,50,524000
29,50,523000
29,50,522000
29,50,521000
29,50,473000
29,50,527000
29,50,517000
29,50,521000
29,50,523000
29,50,531000
29,50,523000
29,50,526000
29,50,518000
29,50,502000
29,50,507000
29,50,524000
29,50,523000
29,50,522000
29,50,527000
29,50,525000
29,50,527000
29,50,534000
29,50,513000
29,50,578000
29,50,519000
29,50,554000
29,50,674000
29,50,525000
29,50,519000
29,50,565000
29,50,512000
29,50,515000
29,50,496000
29,50,519000
29,50,524000
29,50,517000
29,50,513000
29,50,522000
29,50,540000
29,50,523000
29,50,520000
29,50,528000
29,50,511000
29,50,521000
29,50,515000
29,50,554000
29,50,516000
29,50,518000
29,50,526000
29,50,529000
29,50,501000
29,50,527000
29,50,509000
29,50,511000
29,50,523000
29,50,521000
29,50,519000
29,50,565000
29,50,521000
29,50,517000
29,50,520000
29,50,519000
29,50,523000
29,50,500000
29,50,511000
29,50,521000
29,50,515000
29,50,527000
29,50,516000
29,50,566000
29,50,519000
29,50,522000
29,50,520000
29,50,527000
29,50,526000
29,50,519000
29,50,518000
29,50,529000
29,50,521000
29,50,515000
29,50,515000
29,50,524000
29,50,525000
29,50,539000
29,50,513000
29,50,546000
29,50,521000
29,50,521000
29,50,501000
29,50,748000
33,50,519000
33,50,523000
33,50,504000
33,50,519000
33,50,520000
33,50,522000
33,50,523000
33,50,523000
33,50,519000
33,50,518000
33,50,512000
33,50,518000
33,50,522000
33,50,515000
33,50,517000
33,50,524000
33,50,519000
33,50,534000
33,50,509000
33,50,518000
33,50,516000
33,50,512000
33,50,520000
33,50,531000
33,50,519000
33,50,517000
33,50,517000
33,50,519000
33,50,520000
33,50,521000
33,50,520000
33,50,502000
33,50,519000
33,50,511000
33,50,505000
33,50,514000
33,50,524000
33,50,532000
33,50,521000
33,50,527000
33,50,517000
33,50,515000
33,50,526000
33,50,547000
33,50,523000
33,50,511000
33,50,523000
33,50,510000
33,50,515000
33,50,514000
33,50,525000
33,50,521000
33,50,517000
33,50,512000
33,50,527000
33,50,520000
33,50,517000
33,50,509000
33,50,517000
33,50,615000
33,50,497000
33,50,516000
33,50,523000
33,50,510000
33,50,527000
33,50,513000
33,50,566000
33,50,502000
33,50,523000
33,50,510000
33,50,518000
33,50,510000
33,50,520000
33,50,513000
33,50,523000
33,50,497000
33,50,530000
33,50,519000
33,50,520000
33,50,514000
33,50,521000
33,50,498000
33,50,521000
33,50,521000
33,50,521000
33,50,510000
33,50,532000
33,50,510000
33,50,517000
33,50,563000
33,50,498000
33,50,526000
33,50,567000
33,50,521000
33,50,517000
33,50,525000
33,50,526000
33,50,496000
33,50,662000
33,50,518000
37,50,504000
37,50,518000
37,50,520000
37,50,521000
37,50,532000
37,50,517000
37,50,513000
37,50,521000
37,50,521000
37,50,509000
37,50,554000
37,50,523000
37,50,520000
37,50,520000
37,50,520000
37,50,520000
37,50,519000
37,50,524000
37,50,522000
37,50,505000
37,50,512000
37,50,520000
37,50,523000
37,50,572000
37,50,517000
37,50,512000
37,50,519000
37,50,511000
37,50,516000
37,50,518000
37,50,501000
37,50,678000
37,50,523000
37,50,613000
37,50,515000
37,50,516000
37,50,501000
37,50,520000
37,50,493000
37,50,521000
37,50,515000
37,50,504000
37,50,518000
37,50,522000
37,50,559000
37,50,527000
37,50,516000
37,50,522000
37,50,565000
37,50,513000
37,50,520000
37,50,518000
37,50,518000
37,50,557000
37,50,541000
37,50,519000
37,50,518000
37,50,534000
37,50,502000
37,50,521000
37,50,520000
37,50,522000
37,50,525000
37,50,520000
37,50,521000
37,50,471000
37,50,538000
37,50,524000
