Pallet: "pallet-identity", Extrinsic: "clear_identity", Steps: 10, Repeat: 100
R,S,X,time
4,50,50,645000
4,50,50,636000
4,50,50,651000
4,50,50,654000
4,50,50,637000
4,50,50,648000
4,50,50,703000
4,50,50,659000
4,50,50,656000
4,50,50,629000
4,50,50,658000
4,50,50,659000
4,50,50,649000
4,50,50,666000
4,50,50,652000
4,50,50,654000
4,50,50,652000
4,50,50,658000
4,50,50,654000
4,50,50,659000
4,50,50,657000
4,50,50,633000
4,50,50,718000
4,50,50,642000
4,50,50,661000
4,50,50,638000
4,50,50,647000
4,50,50,656000
4,50,50,674000
4,50,50,636000
4,50,50,649000
4,50,50,647000
4,50,50,652000
4,50,50,666000
4,50,50,666000
4,50,50,658000
4,50,50,645000
4,50,50,667000
4,50,50,662000
4,50,50,665000
4,50,50,673000
4,50,50,662000
4,50,50,655000
4,50,50,662000
4,50,50,638000
4,50,50,650000
4,50,50,666000
4,50,50,667000
4,50,50,655000
4,50,50,673000
4,50,50,675000
5,50,50,657000
5,50,50,673000
5,50,50,661000
5,50,50,647000
5,50,50,638000
5,50,50,662000
5,50,50,649000
5,50,50,659000
5,50,50,710000
5,50,50,654000
5,50,50,658000
5,50,50,673000
5,50,50,642000
5,50,50,679000
5,50,50,656000
5,50,50,660000
5,50,50,654000
5,50,50,657000
5,50,50,659000
5,50,50,672000
5,50,50,648000
5,50,50,651000
5,50,50,657000
5,50,50,655000
5,50,50,668000
5,50,50,648000
5,50,50,661000
5,50,50,663000
5,50,50,664000
5,50,50,678000
5,50,50,662000
5,50,50,655000
5,50,50,650000
5,50,50,651000
5,50,50,648000
5,50,50,654000
5,50,50,660000
5,50,50,652000
5,50,50,648000
5,50,50,657000
5,50,50,633000
5,50,50,647000
5,50,50,642000
5,50,50,658000
5,50,50,667000
5,50,50,654000
5,50,50,672000
5,50,50,642000
5,50,50,667000
5,50,50,661000
5,50,50,657000
5,50,50,662000
5,50,50,651000
5,50,50,643000
5,50,50,671000
5,50,50,649000
5,50,50,643000
5,50,50,674000
5,50,50,680000
5,50,50,656000
5,50,50,660000
5,50,50,665000
5,50,50,658000
5,50,50,660000
5,50,50,659000
5,50,50,655000
5,50,50,657000
5,50,50,643000
5,50,50,662000
5,50,50,649000
5,50,50,642000
5,50,50,668000
5,50,50,725000
5,50,50,641000
5,50,50,657000
5,50,50,674000
5,50,50,663000
5,50,50,664000
5,50,50,707000
5,50,50,651000
5,50,50,651000
5,50,50,661000
5,50,50,665000
5,50,50,646000
5,50,50,659000
5,50,50,660000
5,50,50,653000
5,50,50,650000
5,50,50,657000
5,50,50,636000
5,50,50,659000
5,50,50,653000
5,50,50,654000
5,50,50,649000
5,50,50,645000
5,50,50,729000
5,50,50,649000
5,50,50,651000
5,50,50,720000
5,50,50,643000
6,50,50,657000
6,50,50,667000
6,50,50,657000
6,50,50,663000
6,50,50,674000
6,50,50,662000
6,50,50,659000
6,50,50,648000
6,50,50,664000
6,50,50,660000
6,50,50,673000
6,50,50,660000
6,50,50,659000
6,50,50,725000
6,50,50,649000
6,50,50,657000
6,50,50,739000
6,50,50,674000
6,50,50,659000
6,50,50,670000
6,50,50,668000
6,50,50,663000
6,50,50,659000
6,50,50,663000
6,50,50,663000
6,50,50,662000
6,50,50,649000
6,50,50,669000
6,50,50,684000
6,50,50,646000
6,50,50,653000
6,50,50,679000
6,50,50,685000
6,50,50,655000
6,50,50,670000
6,50,50,658000
6,50,50,668000
6,50,50,676000
6,50,50,680000
6,50,50,658000
6,50,50,682000
6,50,50,660000
6,50,50,662000
6,50,50,677000
6,50,50,664000
6,50,50,659000
6,50,50,739000
6,50,50,666000
6,50,50,636000
6,50,50,675000
6,50,50,686000
6,50,50,668000
6,50,50,674000
6,50,50,671000
6,50,50,651000
6,50,50,664000
6,50,50,670000
6,50,50,654000
6,50,50,660000
6,50,50,674000
6,50,50,661000
6,50,50,659000
6,50,50,654000
6,50,50,664000
6,50,50,661000
6,50,50,679000
6,50,50,663000
6,50,50,672000
6,50,50,682000
6,50,50,651000
6,50,50,663000
6,50,50,689000
6,50,50,684000
6,50,50,668000
6,50,50,661000
6,50,50,732000
6,50,50,666000
6,50,50,647000
6,50,50,656000
6,50,50,779000
6,50,50,679000
6,50,50,658000
6,50,50,659000
6,50,50,670000
6,50,50,658000
6,50,50,729000
6,50,50,679000
6,50,50,669000
6,50,50,667000
6,50,50,684000
6,50,50,657000
6,50,50,663000
6,50,50,658000
6,50,50,678000
6,50,50,676000
6,50,50,664000
6,50,50,695000
6,50,50,673000
6,50,50,659000
6,50,50,673000
7,50,50,666000
7,50,50,672000
7,50,50,669000
7,50,50,666000
7,50,50,653000
7,50,50,665000
7,50,50,671000
7,50,50,758000
7,50,50,668000
7,50,50,708000
7,50,50,677000
7,50,50,664000
7,50,50,659000
7,50,50,674000
7,50,50,684000
7,50,50,682000
7,50,50,681000
7,50,50,669000
7,50,50,695000
7,50,50,670000
7,50,50,665000
7,50,50,673000
7,50,50,667000
7,50,50,670000
7,50,50,677000
7,50,50,665000
7,50,50,670000
7,50,50,677000
7,50,50,683000
7,50,50,701000
7,50,50,736000
7,50,50,657000
7,50,50,720000
