Pallet: "pallet-staking", Extrinsic: "nominate", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
n,extrinsic_time,storage_root_time
1,132700,78600
1,433600,64200
1,242100,55100
1,90000,55100
1,100400,59900
1,94700,56000
1,408600,99600
1,249000,57500
1,88101,55600
1,91300,56300
2,288101,76200
2,121201,85500
2,105700,65000
2,260600,66200
2,101800,64100
2,97400,61200
2,116000,61800
2,99200,62800
2,113900,73500
2,109400,70800
3,99900,61400
3,324701,77300
3,277300,71800
3,270300,61900
3,111600,87400
3,99501,61400
3,203900,75900
3,285500,77900
3,267300,61100
3,101500,62500
4,100601,63600
4,255100,63000
4,118701,65100
4,326500,126300
4,140000,62900
4,97800,61300
4,252600,63100
4,267300,61600
4,115600,73500
4,118300,60600
5,1479601,80500
5,6053504,66200
5,134600,65700
5,123400,68100
5,151100,65900
5,253800,61900
5,316400,83900
5,274200,66000
5,105400,65300
5,132600,77000
6,109600,63400
6,292100,66500
6,297300,79000
6,363201,88200
6,107801,63100
6,139300,132500
6,157600,70500
6,124300,61500
6,147700,138700
6,130200,65400
7,130400,64200
7,109600,78400
7,252901,60400
7,325900,66100
7,124900,70900
7,123600,64300
7,111300,77100
7,204200,66200
7,107800,64300
7,149200,111400
8,155900,70900
8,155400,68700
8,301600,64500
8,268100,63300
8,280700,65900
8,116500,117400
8,257300,61100
8,133500,72300
8,266200,59900
8,251900,60500
9,378700,110200
9,132400,73400
9,271400,100500
9,4478103,73201
9,127000,69101
9,125800,65701
9,280600,64400
9,257200,63300
9,125400,74001
9,104100,60800
10,155500,82200
10,189500,70101
10,160100,97900
10,109700,60600
10,325300,90500
10,136200,72900
10,198600,83900
10,113900,61500
10,309701,59200
10,145700,67400
11,271200,68000
11,133000,64400
11,290600,107200
11,124400,86400
11,115100,79500
11,143800,73400
11,117700,64100
11,121900,64600
11,274200,70500
11,277200,73300
12,113300,82600
12,272700,71600
12,2050901,63900
12,162400,68500
12,157100,81200
12,171000,145100
12,187300,61301
12,119000,63200
12,237100,68500
12,160000,69701
13,128001,69200
13,256900,64300
13,146600,79900
13,154100,109600
13,160101,86900
13,139301,74600
13,157800,85800
13,141100,88300
13,276800,71101
13,152600,66700
14,142400,67200
14,306001,68100
14,168800,89600
14,146901,106900
14,270100,76100
14,125300,65200
14,138200,76100
14,125100,65400
14,383700,83600
14,294500,71900
15,377300,80600
15,172100,70400
15,151200,99800
15,117700,63600
15,126700,68100
15,128400,67200
15,247200,74700
15,264900,65500
15,147300,107100
15,174000,128600
16,130400,67100
16,172200,131800
16,133701,90200
16,152700,83400
16,143900,65700
16,180300,113700
16,254100,68400
16,135900,71800
16,289700,74200
16,143300,101300
