Pallet: "pallet-staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
e,extrinsic_time,storage_root_time
1,551800,248201
1,376801,148000
1,179400,167201
1,2138402,133700
1,184400,132600
1,167300,133500
1,258401,133900
1,219700,159301
1,176201,168900
1,209900,171200
10,1287101,430400
10,2766402,1251002
10,1127701,426601
10,1068601,352501
10,1080601,425600
10,1544102,385900
10,1057101,498700
10,1366802,402300
10,1013801,399000
10,924201,429401
19,1869502,631401
19,2435403,1112401
19,2330902,723401
19,2234502,946001
19,1807602,837901
19,2352002,598701
19,2263102,1008301
19,2250703,691900
19,1796302,604000
19,2108602,758400
28,3126502,893601
28,2752503,927801
28,2839603,843501
28,3080203,944901
28,3544703,1051201
28,2941903,1180301
28,2907303,1417701
28,2526603,859401
28,3059603,901001
28,2521202,937701
37,3710303,1076201
37,3712403,1069101
37,4097003,1281301
37,3816303,1255301
37,3684603,1196202
37,4620805,1171901
37,4082204,1121701
37,4054704,1305501
37,4049704,1194101
37,8745608,1534801
46,4846105,1546101
46,4536504,1589802
46,4729004,1561601
46,5021504,1658102
46,4282003,1380402
46,5471705,2529703
46,4467204,1383601
46,4489904,1303801
46,4816005,1424201
46,5193205,1323001
55,7192206,3010203
55,5995206,1636801
55,6483406,2214802
55,5475706,1519701
55,6846406,2126002
55,6383306,1771202
55,7635607,1930802
55,7024107,1886202
55,5693105,1799202
55,8463207,2705403
64,7578907,2887603
64,7409207,1888602
64,6564007,1927501
64,8230408,1889902
64,7884407,2352202
64,8281808,2654902
64,8574308,2243702
64,7912207,2436203
64,6780707,1926401
64,6767206,1964802
73,7881607,2088302
73,7993007,2040402
73,9492308,2745603
73,8314408,2149702
73,8465508,2479802
73,9601009,2200902
73,8202407,2254202
73,9559509,2211402
73,7592807,2068202
73,9430709,2387602
82,8967308,3467303
82,8566008,2560902
82,10401709,3005403
82,11040810,3286503
82,9950109,3212603
82,9872110,2728502
82,9361609,2570902
82,9611109,3039802
82,8486307,3650504
82,12681212,2939902
91,19676718,3678303
91,12024011,4160904
91,11557011,3521403
91,18761218,2958202
91,10733110,2803403
91,9847009,3067503
91,10966610,3889804
91,11334010,3691104
91,10941610,3545603
91,11835611,3213403
100,12514612,3843303
100,14210113,3583204
100,11427011,3060003
100,12000811,4508705
100,12933212,3944304
100,15960915,3900304
100,11866311,3470503
100,10758810,3637503
100,12313812,3858303
100,12589911,3545004
