Pallet: "pallet-identity", Extrinsic: "kill_identity", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,s,x,extrinsic_time,storage_root_time
50,91,100,4552806,710401
50,91,100,4526606,650201
50,91,100,5570108,685801
50,91,100,4305505,639501
50,100,100,4799507,726401
50,100,100,4929706,737401
50,100,100,4324205,709301
50,100,100,12344816,788701
50,100,100,5222007,804101
50,100,100,4650806,750701
50,100,100,4880907,878701
50,100,100,5093007,1034201
50,100,100,4484706,658201
50,100,100,4969706,738901
50,100,1,6189909,1006501
50,100,1,4867806,894802
50,100,1,4210305,656101
50,100,1,4771007,665900
50,100,1,5094207,703901
50,100,1,4251805,674901
50,100,1,4629806,651101
50,100,1,5305407,921501
50,100,1,4962806,723501
50,100,1,4439106,729301
50,100,10,5106207,799301
50,100,10,4469406,825401
50,100,10,5886108,878701
50,100,10,4176005,652201
50,100,10,5855507,806201
50,100,10,5638308,779501
50,100,10,7086710,873101
50,100,10,4404706,678601
50,100,10,4600906,692801
50,100,10,5588708,839101
50,100,19,5087407,896201
50,100,19,4526806,702001
50,100,19,4511806,681101
50,100,19,5805307,737201
50,100,19,4259906,660401
50,100,19,5023907,946901
50,100,19,4635407,697801
50,100,19,5116807,789301
50,100,19,4218305,724201
50,100,19,4380006,657701
50,100,28,4136706,664301
50,100,28,4602506,727201
50,100,28,4498606,707201
50,100,28,4563406,754801
50,100,28,4870506,768201
50,100,28,4361406,909901
50,100,28,4258506,828601
50,100,28,4945806,922602
50,100,28,4310306,711801
50,100,28,4547106,688201
50,100,37,5005806,987702
50,100,37,4545806,664601
50,100,37,4391805,714001
50,100,37,5481208,747301
50,100,37,4569506,789201
50,100,37,5477597,817400
50,100,37,4327598,658799
50,100,37,5158398,732900
50,100,37,4586798,649800
50,100,37,4440098,668399
50,100,46,4273798,736099
50,100,46,6024397,1181300
50,100,46,4905698,858200
50,100,46,5907298,948400
50,100,46,4295698,832600
50,100,46,5921898,820599
50,100,46,4962998,755000
50,100,46,5141598,779899
50,100,46,4436898,682500
50,100,46,4712198,756300
50,100,55,4327499,665799
50,100,55,4330499,656400
